step 0: train loss 3.7095, val loss 3.7091
iter 0: loss 3.7106, time 2647.91ms, mfu -100.00%
iter 50: loss 2.2139, time 101.74ms, mfu 27.30%
iter 100: loss 1.9857, time 106.02ms, mfu 27.19%
iter 150: loss 1.9043, time 101.79ms, mfu 27.20%
iter 200: loss 1.8349, time 101.77ms, mfu 27.21%
iter 250: loss 1.7469, time 101.79ms, mfu 27.22%
iter 300: loss 1.6379, time 101.77ms, mfu 27.23%
iter 350: loss 1.5471, time 101.87ms, mfu 27.23%
iter 400: loss 1.4782, time 101.88ms, mfu 27.23%
iter 450: loss 1.3474, time 101.91ms, mfu 27.24%
iter 500: loss 1.2434, time 101.90ms, mfu 27.24%
iter 550: loss 1.1858, time 105.64ms, mfu 27.14%
iter 600: loss 1.1525, time 101.87ms, mfu 27.16%
iter 650: loss 1.0944, time 105.60ms, mfu 27.07%
iter 700: loss 1.0550, time 106.33ms, mfu 26.98%
iter 750: loss 1.0071, time 105.32ms, mfu 26.92%
iter 800: loss 0.9720, time 105.45ms, mfu 26.86%
iter 850: loss 0.9541, time 104.78ms, mfu 26.82%
iter 900: loss 0.8996, time 101.96ms, mfu 26.86%
iter 950: loss 0.8757, time 102.04ms, mfu 26.90%
iter 1000: loss 0.8791, time 105.82ms, mfu 26.84%
iter 1050: loss 0.8699, time 101.91ms, mfu 26.88%
iter 1100: loss 0.8335, time 101.85ms, mfu 26.92%
iter 1150: loss 0.8081, time 101.82ms, mfu 26.95%
iter 1200: loss 0.8069, time 105.80ms, mfu 26.88%
iter 1250: loss 0.7889, time 101.83ms, mfu 26.92%
iter 1300: loss 0.7663, time 105.53ms, mfu 26.86%
iter 1350: loss 0.7599, time 101.84ms, mfu 26.90%
iter 1400: loss 0.7822, time 101.88ms, mfu 26.94%
iter 1450: loss 0.7441, time 105.35ms, mfu 26.88%
iter 1500: loss 0.7165, time 105.37ms, mfu 26.83%
iter 1550: loss 0.7009, time 101.88ms, mfu 26.87%
iter 1600: loss 0.7191, time 101.80ms, mfu 26.91%
iter 1650: loss 0.7078, time 101.83ms, mfu 26.95%
iter 1700: loss 0.7107, time 101.79ms, mfu 26.98%
iter 1750: loss 0.7260, time 101.89ms, mfu 27.01%
iter 1800: loss 0.7008, time 101.80ms, mfu 27.04%
iter 1850: loss 0.8118, time 101.84ms, mfu 27.06%
iter 1900: loss 0.7174, time 101.78ms, mfu 27.09%
iter 1950: loss 0.6771, time 101.80ms, mfu 27.11%
iter 2000: loss 0.6583, time 105.50ms, mfu 27.03%
iter 2050: loss 0.6850, time 101.86ms, mfu 27.05%
iter 2100: loss 0.6351, time 105.64ms, mfu 26.98%
iter 2150: loss 0.6656, time 105.90ms, mfu 26.90%
iter 2200: loss 0.6575, time 101.79ms, mfu 26.94%
iter 2250: loss 0.6834, time 101.76ms, mfu 26.98%
iter 2300: loss 0.6326, time 101.83ms, mfu 27.01%
iter 2350: loss 0.6133, time 101.81ms, mfu 27.03%
iter 2400: loss 0.6512, time 101.81ms, mfu 27.06%
iter 2450: loss 0.6121, time 104.73ms, mfu 27.00%
iter 2500: loss 0.6173, time 101.75ms, mfu 27.03%
iter 2550: loss 0.6383, time 105.54ms, mfu 26.96%
iter 2600: loss 0.6273, time 105.84ms, mfu 26.89%
iter 2650: loss 0.6192, time 106.23ms, mfu 26.82%
iter 2700: loss 0.5881, time 104.99ms, mfu 26.78%
iter 2750: loss 0.5777, time 103.89ms, mfu 26.78%
iter 2800: loss 0.6117, time 105.41ms, mfu 26.73%
iter 2850: loss 0.6107, time 105.14ms, mfu 26.70%
iter 2900: loss 0.6064, time 101.85ms, mfu 26.76%
iter 2950: loss 0.5844, time 105.23ms, mfu 26.72%
iter 3000: loss 0.5872, time 106.49ms, mfu 26.66%
iter 3050: loss 0.5893, time 104.71ms, mfu 26.65%
iter 3100: loss 0.5889, time 105.77ms, mfu 26.61%
iter 3150: loss 0.5753, time 105.57ms, mfu 26.58%
iter 3200: loss 0.5919, time 105.63ms, mfu 26.55%
iter 3250: loss 0.5872, time 104.73ms, mfu 26.55%
iter 3300: loss 0.5638, time 105.91ms, mfu 26.51%
iter 3350: loss 0.5863, time 105.16ms, mfu 26.50%
iter 3400: loss 0.5868, time 101.77ms, mfu 26.58%
iter 3450: loss 0.5841, time 101.74ms, mfu 26.65%
iter 3500: loss 0.5729, time 104.52ms, mfu 26.65%
iter 3550: loss 0.5761, time 105.69ms, mfu 26.61%
iter 3600: loss 0.5852, time 104.85ms, mfu 26.60%
iter 3650: loss 0.5573, time 104.58ms, mfu 26.59%
iter 3700: loss 0.5642, time 101.81ms, mfu 26.66%
iter 3750: loss 0.5554, time 101.81ms, mfu 26.72%
iter 3800: loss 0.5687, time 105.71ms, mfu 26.68%
iter 3850: loss 0.5553, time 106.19ms, mfu 26.63%
iter 3900: loss 0.5465, time 101.75ms, mfu 26.69%
iter 3950: loss 0.5513, time 101.79ms, mfu 26.75%
step 4000: train loss 0.5657, val loss 0.5626
saving checkpoint to out-stockfish
iter 4000: loss 0.5507, time 2431.75ms, mfu 24.19%
iter 4050: loss 0.5684, time 101.90ms, mfu 24.50%
iter 4100: loss 0.5746, time 101.94ms, mfu 24.77%
iter 4150: loss 0.5598, time 105.21ms, mfu 24.94%
iter 4200: loss 0.5462, time 105.66ms, mfu 25.07%
iter 4250: loss 0.5567, time 104.95ms, mfu 25.21%
iter 4300: loss 0.5595, time 104.81ms, mfu 25.34%
iter 4350: loss 0.5756, time 105.63ms, mfu 25.44%
iter 4400: loss 0.5837, time 101.87ms, mfu 25.62%
iter 4450: loss 0.5601, time 105.62ms, mfu 25.69%
iter 4500: loss 0.5593, time 101.83ms, mfu 25.85%
iter 4550: loss 0.5478, time 101.86ms, mfu 25.99%
iter 4600: loss 0.5548, time 101.90ms, mfu 26.11%
iter 4650: loss 0.5380, time 101.88ms, mfu 26.23%
iter 4700: loss 0.5526, time 101.88ms, mfu 26.33%
iter 4750: loss 0.5428, time 101.86ms, mfu 26.43%
iter 4800: loss 0.5343, time 101.91ms, mfu 26.51%
