step 0: train loss 3.5711, val loss 3.5712
iter 0: loss 3.5730, time 18459.14ms, mfu -100.00%
iter 50: loss 2.1367, time 235.45ms, mfu 28.05%
iter 100: loss 1.8984, time 236.66ms, mfu 28.04%
iter 150: loss 1.7857, time 234.50ms, mfu 28.05%
iter 200: loss 1.7304, time 236.90ms, mfu 28.03%
iter 250: loss 1.6577, time 237.06ms, mfu 28.01%
iter 300: loss 1.6147, time 236.87ms, mfu 28.00%
iter 350: loss 1.5801, time 234.68ms, mfu 28.02%
iter 400: loss 1.5213, time 234.81ms, mfu 28.03%
iter 450: loss 1.4672, time 236.58ms, mfu 28.02%
iter 500: loss 1.4010, time 236.27ms, mfu 28.01%
iter 550: loss 1.3428, time 234.86ms, mfu 28.02%
