step 0: train loss 3.5875, val loss 3.5876
iter 0: loss 3.5887, time 10426.51ms, mfu -100.00%
iter 50: loss 2.0650, time 451.90ms, mfu 28.05%
iter 100: loss 1.8390, time 453.25ms, mfu 28.05%
iter 150: loss 1.7101, time 450.16ms, mfu 28.06%
iter 200: loss 1.6802, time 454.50ms, mfu 28.04%
iter 250: loss 1.6383, time 452.85ms, mfu 28.04%
iter 300: loss 1.5791, time 450.41ms, mfu 28.05%
iter 350: loss 1.5256, time 452.29ms, mfu 28.05%
iter 400: loss 1.4501, time 450.56ms, mfu 28.05%
iter 450: loss 1.3752, time 449.86ms, mfu 28.07%
iter 500: loss 1.3012, time 450.00ms, mfu 28.08%
iter 550: loss 1.2425, time 450.89ms, mfu 28.08%
iter 600: loss 1.2294, time 455.34ms, mfu 28.06%
iter 650: loss 1.1817, time 453.93ms, mfu 28.04%
iter 700: loss 1.1558, time 452.31ms, mfu 28.04%
iter 750: loss 1.1681, time 453.28ms, mfu 28.04%
iter 800: loss 1.0604, time 454.85ms, mfu 28.02%
iter 850: loss 1.0300, time 453.60ms, mfu 28.01%
iter 900: loss 0.9910, time 453.18ms, mfu 28.01%
iter 950: loss 0.9465, time 455.23ms, mfu 27.99%
iter 1000: loss 0.9195, time 454.16ms, mfu 27.98%
iter 1050: loss 0.8915, time 456.97ms, mfu 27.96%
iter 1100: loss 0.8691, time 454.31ms, mfu 27.95%
iter 1150: loss 0.8191, time 454.80ms, mfu 27.95%
iter 1200: loss 0.8020, time 453.99ms, mfu 27.94%
iter 1250: loss 0.7558, time 462.94ms, mfu 27.89%
iter 1300: loss 0.7211, time 453.61ms, mfu 27.89%
iter 1350: loss 0.7147, time 453.38ms, mfu 27.90%
iter 1400: loss 0.6850, time 453.62ms, mfu 27.91%
iter 1450: loss 0.6880, time 458.31ms, mfu 27.88%
iter 1500: loss 0.6634, time 461.87ms, mfu 27.84%
iter 1550: loss 0.6540, time 456.61ms, mfu 27.83%
iter 1600: loss 0.6498, time 469.53ms, mfu 27.75%
iter 1650: loss 0.6403, time 454.02ms, mfu 27.77%
iter 1700: loss 0.6047, time 457.56ms, mfu 27.76%
iter 1750: loss 0.6046, time 457.33ms, mfu 27.76%
iter 1800: loss 0.7206, time 453.80ms, mfu 27.77%
iter 1850: loss 0.6013, time 469.67ms, mfu 27.70%
iter 1900: loss 0.5881, time 456.07ms, mfu 27.71%
iter 1950: loss 0.5800, time 457.38ms, mfu 27.71%
iter 2000: loss 0.5685, time 457.55ms, mfu 27.71%
iter 2050: loss 0.5692, time 454.36ms, mfu 27.73%
iter 2100: loss 0.5595, time 454.50ms, mfu 27.74%
iter 2150: loss 0.5470, time 453.80ms, mfu 27.76%
iter 2200: loss 0.5594, time 460.38ms, mfu 27.74%
iter 2250: loss 0.5360, time 454.40ms, mfu 27.76%
iter 2300: loss 0.5322, time 457.08ms, mfu 27.75%
iter 2350: loss 0.5281, time 453.31ms, mfu 27.78%
iter 2400: loss 0.5259, time 467.89ms, mfu 27.71%
iter 2450: loss 0.5451, time 455.55ms, mfu 27.72%
iter 2500: loss 0.5181, time 475.44ms, mfu 27.61%
iter 2550: loss 0.5117, time 454.65ms, mfu 27.64%
iter 2600: loss 0.5174, time 454.38ms, mfu 27.67%
iter 2650: loss 0.5081, time 457.91ms, mfu 27.67%
iter 2700: loss 0.4972, time 454.49ms, mfu 27.69%
iter 2750: loss 0.5023, time 458.40ms, mfu 27.69%
iter 2800: loss 0.5058, time 454.51ms, mfu 27.71%
iter 2850: loss 0.5023, time 463.37ms, mfu 27.67%
iter 2900: loss 0.4839, time 455.39ms, mfu 27.69%
iter 2950: loss 0.4967, time 478.00ms, mfu 27.57%
iter 3000: loss 0.4854, time 453.38ms, mfu 27.61%
iter 3050: loss 0.4731, time 457.65ms, mfu 27.62%
iter 3100: loss 0.4791, time 454.82ms, mfu 27.65%
iter 3150: loss 0.4736, time 453.82ms, mfu 27.67%
iter 3200: loss 0.4747, time 457.34ms, mfu 27.68%
