step 0: train loss 3.5803, val loss 3.5800
iter 0: loss 3.5826, time 5503.59ms, mfu -100.00%
iter 50: loss 2.1790, time 227.05ms, mfu 27.92%
iter 100: loss 1.9215, time 227.40ms, mfu 27.92%
iter 150: loss 1.7822, time 227.45ms, mfu 27.92%
iter 200: loss 1.6957, time 227.44ms, mfu 27.91%
iter 250: loss 1.6463, time 229.54ms, mfu 27.88%
iter 300: loss 1.5884, time 228.22ms, mfu 27.87%
iter 350: loss 1.5725, time 228.00ms, mfu 27.87%
iter 400: loss 1.4822, time 228.17ms, mfu 27.86%
iter 450: loss 1.4352, time 227.63ms, mfu 27.86%
iter 500: loss 1.3649, time 227.83ms, mfu 27.86%
iter 550: loss 1.2948, time 227.49ms, mfu 27.86%
iter 600: loss 1.2551, time 228.10ms, mfu 27.85%
iter 650: loss 1.2082, time 227.55ms, mfu 27.85%
iter 700: loss 1.1958, time 228.20ms, mfu 27.85%
iter 750: loss 1.1428, time 227.67ms, mfu 27.85%
iter 800: loss 1.1261, time 228.02ms, mfu 27.84%
iter 850: loss 1.0405, time 230.78ms, mfu 27.80%
iter 900: loss 0.9947, time 229.89ms, mfu 27.78%
iter 950: loss 0.9593, time 230.82ms, mfu 27.75%
iter 1000: loss 0.9232, time 227.53ms, mfu 27.76%
iter 1050: loss 0.9058, time 229.54ms, mfu 27.75%
iter 1100: loss 0.8656, time 227.47ms, mfu 27.76%
iter 1150: loss 0.8501, time 227.56ms, mfu 27.77%
iter 1200: loss 0.8091, time 227.44ms, mfu 27.78%
iter 1250: loss 0.7823, time 227.49ms, mfu 27.79%
iter 1300: loss 0.7638, time 230.58ms, mfu 27.76%
iter 1350: loss 0.7441, time 230.76ms, mfu 27.73%
iter 1400: loss 0.7488, time 230.00ms, mfu 27.72%
iter 1450: loss 0.7036, time 227.54ms, mfu 27.73%
iter 1500: loss 0.6860, time 230.45ms, mfu 27.71%
iter 1550: loss 0.6770, time 227.49ms, mfu 27.73%
iter 1600: loss 0.6568, time 230.61ms, mfu 27.70%
iter 1650: loss 0.7239, time 227.58ms, mfu 27.72%
iter 1700: loss 0.6427, time 229.82ms, mfu 27.70%
iter 1750: loss 0.6343, time 230.60ms, mfu 27.68%
iter 1800: loss 0.6266, time 227.48ms, mfu 27.70%
iter 1850: loss 0.6150, time 227.40ms, mfu 27.72%
iter 1900: loss 0.6179, time 227.37ms, mfu 27.74%
iter 1950: loss 0.6349, time 227.85ms, mfu 27.75%
iter 2000: loss 0.6002, time 227.46ms, mfu 27.76%
iter 2050: loss 0.6014, time 227.61ms, mfu 27.77%
iter 2100: loss 0.5847, time 230.97ms, mfu 27.74%
iter 2150: loss 0.6253, time 227.46ms, mfu 27.75%
iter 2200: loss 0.5762, time 230.97ms, mfu 27.72%
iter 2250: loss 0.5807, time 230.29ms, mfu 27.70%
iter 2300: loss 0.5788, time 229.51ms, mfu 27.69%
iter 2350: loss 0.5597, time 230.91ms, mfu 27.67%
iter 2400: loss 0.5556, time 227.46ms, mfu 27.69%
iter 2450: loss 0.5553, time 228.04ms, mfu 27.70%
iter 2500: loss 0.5554, time 227.76ms, mfu 27.72%
iter 2550: loss 0.5528, time 227.54ms, mfu 27.73%
iter 2600: loss 0.5496, time 227.47ms, mfu 27.74%
iter 2650: loss 0.5400, time 227.47ms, mfu 27.76%
iter 2700: loss 0.5401, time 229.85ms, mfu 27.74%
iter 2750: loss 0.5261, time 227.48ms, mfu 27.75%
iter 2800: loss 0.5258, time 230.92ms, mfu 27.72%
iter 2850: loss 0.5315, time 227.44ms, mfu 27.74%
iter 2900: loss 0.5271, time 227.46ms, mfu 27.75%
iter 2950: loss 0.5282, time 227.47ms, mfu 27.76%
iter 3000: loss 0.5324, time 227.58ms, mfu 27.77%
iter 3050: loss 0.5183, time 227.45ms, mfu 27.78%
