step 56000: train loss 0.3220, val loss 0.3235
saving checkpoint to out-stockfish-16layer
iter 56000: loss 0.3288, time 10916.99ms, mfu -100.00%
iter 56050: loss 0.3329, time 456.64ms, mfu 27.76%
iter 56100: loss 0.3165, time 455.44ms, mfu 27.77%
iter 56150: loss 0.3212, time 463.95ms, mfu 27.73%
iter 56200: loss 0.3227, time 459.27ms, mfu 27.71%
iter 56250: loss 0.3238, time 471.26ms, mfu 27.63%
iter 56300: loss 0.3150, time 454.41ms, mfu 27.66%
iter 56350: loss 0.3253, time 462.14ms, mfu 27.64%
iter 56400: loss 0.3202, time 454.50ms, mfu 27.66%
iter 56450: loss 0.3214, time 461.33ms, mfu 27.64%
iter 56500: loss 0.3236, time 460.18ms, mfu 27.63%
iter 56550: loss 0.3169, time 474.68ms, mfu 27.54%
iter 56600: loss 0.3141, time 461.94ms, mfu 27.53%
iter 56650: loss 0.3286, time 459.17ms, mfu 27.54%
iter 56700: loss 0.3218, time 454.77ms, mfu 27.57%
iter 56750: loss 0.3174, time 479.63ms, mfu 27.46%
iter 56800: loss 0.3239, time 456.06ms, mfu 27.49%
iter 56850: loss 0.3198, time 464.79ms, mfu 27.47%
iter 56900: loss 0.3190, time 462.62ms, mfu 27.46%
iter 56950: loss 0.3163, time 455.23ms, mfu 27.50%
iter 57000: loss 0.3168, time 463.12ms, mfu 27.49%
iter 57050: loss 0.3260, time 463.39ms, mfu 27.48%
iter 57100: loss 0.3179, time 454.60ms, mfu 27.52%
iter 57150: loss 0.3247, time 454.73ms, mfu 27.55%
iter 57200: loss 0.3286, time 476.70ms, mfu 27.46%
iter 57250: loss 0.3168, time 458.53ms, mfu 27.48%
iter 57300: loss 0.3112, time 457.07ms, mfu 27.50%
iter 57350: loss 0.3171, time 461.08ms, mfu 27.50%
iter 57400: loss 0.3177, time 453.44ms, mfu 27.55%
iter 57450: loss 0.3167, time 462.42ms, mfu 27.53%
iter 57500: loss 0.3171, time 457.22ms, mfu 27.55%
iter 57550: loss 0.3220, time 471.01ms, mfu 27.49%
iter 57600: loss 0.3313, time 455.19ms, mfu 27.53%
iter 57650: loss 0.3187, time 454.30ms, mfu 27.56%
iter 57700: loss 0.3185, time 455.84ms, mfu 27.59%
iter 57750: loss 0.3209, time 457.77ms, mfu 27.60%
iter 57800: loss 0.3301, time 457.99ms, mfu 27.61%
iter 57850: loss 0.3248, time 466.84ms, mfu 27.56%
iter 57900: loss 0.3231, time 456.39ms, mfu 27.58%
iter 57950: loss 0.3244, time 454.26ms, mfu 27.62%
iter 58000: loss 0.3248, time 455.01ms, mfu 27.64%
iter 58050: loss 0.3219, time 458.14ms, mfu 27.64%
iter 58100: loss 0.3235, time 458.13ms, mfu 27.65%
iter 58150: loss 0.3202, time 460.73ms, mfu 27.63%
iter 58200: loss 0.3204, time 454.46ms, mfu 27.66%
iter 58250: loss 0.3186, time 454.32ms, mfu 27.68%
iter 58300: loss 0.3194, time 457.27ms, mfu 27.69%
iter 58350: loss 0.3148, time 463.54ms, mfu 27.65%
iter 58400: loss 0.3214, time 463.03ms, mfu 27.63%
iter 58450: loss 0.3363, time 466.20ms, mfu 27.58%
iter 58500: loss 0.3166, time 461.70ms, mfu 27.57%
iter 58550: loss 0.3194, time 463.88ms, mfu 27.55%
iter 58600: loss 0.3231, time 463.90ms, mfu 27.52%
iter 58650: loss 0.3195, time 463.32ms, mfu 27.51%
iter 58700: loss 0.3132, time 463.59ms, mfu 27.49%
iter 58750: loss 0.3188, time 463.68ms, mfu 27.48%
iter 58800: loss 0.3293, time 466.73ms, mfu 27.45%
iter 58850: loss 0.3296, time 460.36ms, mfu 27.46%
iter 58900: loss 0.3174, time 465.91ms, mfu 27.43%
iter 58950: loss 0.3267, time 465.90ms, mfu 27.41%
iter 59000: loss 0.3248, time 466.20ms, mfu 27.39%
iter 59050: loss 0.3176, time 463.41ms, mfu 27.38%
iter 59100: loss 0.3197, time 464.60ms, mfu 27.37%
iter 59150: loss 0.3117, time 463.02ms, mfu 27.37%
iter 59200: loss 0.3189, time 462.37ms, mfu 27.38%
iter 59250: loss 0.3317, time 462.64ms, mfu 27.38%
iter 59300: loss 0.3268, time 464.22ms, mfu 27.37%
iter 59350: loss 0.3152, time 465.50ms, mfu 27.36%
iter 59400: loss 0.3260, time 463.38ms, mfu 27.36%
iter 59450: loss 0.3141, time 463.88ms, mfu 27.36%
iter 59500: loss 0.3295, time 464.25ms, mfu 27.35%
iter 59550: loss 0.3224, time 463.05ms, mfu 27.35%
iter 59600: loss 0.3231, time 463.25ms, mfu 27.36%
iter 59650: loss 0.3305, time 463.38ms, mfu 27.36%
iter 59700: loss 0.3211, time 463.34ms, mfu 27.36%
iter 59750: loss 0.3215, time 461.00ms, mfu 27.37%
iter 59800: loss 0.3210, time 464.84ms, mfu 27.36%
iter 59850: loss 0.3263, time 463.02ms, mfu 27.36%
iter 59900: loss 0.3175, time 464.01ms, mfu 27.36%
iter 59950: loss 0.3300, time 463.40ms, mfu 27.36%
step 60000: train loss 0.3200, val loss 0.3232
saving checkpoint to out-stockfish-16layer
iter 60000: loss 0.3174, time 10817.40ms, mfu 24.74%
iter 60050: loss 0.3206, time 458.76ms, mfu 25.03%
iter 60100: loss 0.3185, time 471.16ms, mfu 25.22%
iter 60150: loss 0.3140, time 458.27ms, mfu 25.46%
iter 60200: loss 0.3220, time 456.63ms, mfu 25.69%
iter 60250: loss 0.3194, time 460.78ms, mfu 25.87%
iter 60300: loss 0.3198, time 462.40ms, mfu 26.03%
iter 60350: loss 0.3174, time 473.36ms, mfu 26.10%
iter 60400: loss 0.3147, time 459.38ms, mfu 26.25%
iter 60450: loss 0.3213, time 459.77ms, mfu 26.39%
iter 60500: loss 0.3075, time 460.02ms, mfu 26.50%
iter 60550: loss 0.3163, time 462.75ms, mfu 26.59%
iter 60600: loss 0.3140, time 461.80ms, mfu 26.68%
iter 60650: loss 0.3179, time 458.41ms, mfu 26.78%
iter 60700: loss 0.3169, time 463.38ms, mfu 26.83%
iter 60750: loss 0.3206, time 467.74ms, mfu 26.86%
iter 60800: loss 0.3267, time 463.77ms, mfu 26.91%
iter 60850: loss 0.3243, time 456.20ms, mfu 27.00%
iter 60900: loss 0.3232, time 459.69ms, mfu 27.05%
iter 60950: loss 0.3200, time 455.09ms, mfu 27.13%
iter 61000: loss 0.3256, time 470.07ms, mfu 27.12%
iter 61050: loss 0.3167, time 472.09ms, mfu 27.09%
iter 61100: loss 0.3215, time 455.42ms, mfu 27.17%
iter 61150: loss 0.3224, time 454.19ms, mfu 27.24%
iter 61200: loss 0.3187, time 466.60ms, mfu 27.23%
iter 61250: loss 0.3227, time 456.74ms, mfu 27.29%
iter 61300: loss 0.3238, time 457.77ms, mfu 27.33%
iter 61350: loss 0.3286, time 476.24ms, mfu 27.26%
iter 61400: loss 0.3259, time 474.89ms, mfu 27.20%
iter 61450: loss 0.3158, time 454.28ms, mfu 27.27%
iter 61500: loss 0.3156, time 463.74ms, mfu 27.28%
iter 61550: loss 0.3241, time 476.46ms, mfu 27.21%
iter 61600: loss 0.3254, time 458.60ms, mfu 27.25%
iter 61650: loss 0.3242, time 454.31ms, mfu 27.32%
iter 61700: loss 0.3242, time 471.39ms, mfu 27.28%
iter 61750: loss 0.3163, time 460.09ms, mfu 27.30%
iter 61800: loss 0.3169, time 464.79ms, mfu 27.30%
iter 61850: loss 0.3283, time 462.20ms, mfu 27.31%
iter 61900: loss 0.3000, time 458.97ms, mfu 27.34%
iter 61950: loss 0.3226, time 459.22ms, mfu 27.37%
iter 62000: loss 0.3175, time 459.41ms, mfu 27.39%
