step 120000: train loss 0.3326, val loss 0.3335
saving checkpoint to out-stockfish-8layer
iter 120000: loss 0.3357, time 5763.41ms, mfu -100.00%
iter 120050: loss 0.3312, time 228.90ms, mfu 27.70%
iter 120100: loss 0.3318, time 227.60ms, mfu 27.72%
iter 120150: loss 0.3352, time 227.65ms, mfu 27.73%
iter 120200: loss 0.3360, time 227.72ms, mfu 27.74%
iter 120250: loss 0.3331, time 227.67ms, mfu 27.75%
iter 120300: loss 0.3344, time 230.11ms, mfu 27.73%
iter 120350: loss 0.3259, time 230.59ms, mfu 27.71%
iter 120400: loss 0.3274, time 227.72ms, mfu 27.72%
iter 120450: loss 0.3434, time 227.70ms, mfu 27.73%
iter 120500: loss 0.3344, time 227.68ms, mfu 27.74%
iter 120550: loss 0.3274, time 230.01ms, mfu 27.73%
iter 120600: loss 0.3352, time 230.67ms, mfu 27.70%
iter 120650: loss 0.3383, time 227.72ms, mfu 27.72%
iter 120700: loss 0.3322, time 227.80ms, mfu 27.73%
iter 120750: loss 0.3302, time 227.68ms, mfu 27.74%
iter 120800: loss 0.3322, time 227.66ms, mfu 27.75%
iter 120850: loss 0.3344, time 227.63ms, mfu 27.76%
iter 120900: loss 0.3338, time 227.65ms, mfu 27.77%
iter 120950: loss 0.3286, time 227.56ms, mfu 27.78%
iter 121000: loss 0.3342, time 230.37ms, mfu 27.75%
iter 121050: loss 0.3372, time 230.64ms, mfu 27.73%
iter 121100: loss 0.3362, time 227.73ms, mfu 27.74%
iter 121150: loss 0.3322, time 227.77ms, mfu 27.75%
iter 121200: loss 0.3265, time 227.69ms, mfu 27.76%
iter 121250: loss 0.3339, time 227.82ms, mfu 27.77%
iter 121300: loss 0.3392, time 229.37ms, mfu 27.75%
iter 121350: loss 0.3352, time 228.39ms, mfu 27.75%
iter 121400: loss 0.3404, time 230.69ms, mfu 27.73%
iter 121450: loss 0.3327, time 227.64ms, mfu 27.74%
iter 121500: loss 0.3308, time 227.66ms, mfu 27.75%
iter 121550: loss 0.3386, time 227.66ms, mfu 27.76%
iter 121600: loss 0.3264, time 230.66ms, mfu 27.73%
iter 121650: loss 0.3374, time 228.76ms, mfu 27.73%
iter 121700: loss 0.3305, time 230.65ms, mfu 27.71%
iter 121750: loss 0.3325, time 227.73ms, mfu 27.72%
iter 121800: loss 0.3347, time 229.91ms, mfu 27.71%
iter 121850: loss 0.3264, time 229.81ms, mfu 27.69%
iter 121900: loss 0.3341, time 229.75ms, mfu 27.69%
iter 121950: loss 0.3379, time 227.64ms, mfu 27.70%
iter 122000: loss 0.3286, time 227.63ms, mfu 27.72%
iter 122050: loss 0.3409, time 227.56ms, mfu 27.73%
iter 122100: loss 0.3250, time 227.62ms, mfu 27.74%
iter 122150: loss 0.3267, time 227.65ms, mfu 27.75%
iter 122200: loss 0.3299, time 227.61ms, mfu 27.76%
iter 122250: loss 0.3357, time 227.61ms, mfu 27.77%
iter 122300: loss 0.3385, time 231.29ms, mfu 27.74%
iter 122350: loss 0.3300, time 227.58ms, mfu 27.75%
iter 122400: loss 0.3295, time 230.44ms, mfu 27.73%
iter 122450: loss 0.3242, time 229.88ms, mfu 27.71%
iter 122500: loss 0.3318, time 230.70ms, mfu 27.69%
iter 122550: loss 0.3316, time 229.98ms, mfu 27.68%
iter 122600: loss 0.3356, time 227.67ms, mfu 27.69%
iter 122650: loss 0.3324, time 227.57ms, mfu 27.71%
iter 122700: loss 0.3325, time 227.65ms, mfu 27.72%
iter 122750: loss 0.3265, time 227.62ms, mfu 27.74%
iter 122800: loss 0.3264, time 230.31ms, mfu 27.72%
iter 122850: loss 0.3341, time 227.56ms, mfu 27.73%
iter 122900: loss 0.3344, time 227.66ms, mfu 27.74%
iter 122950: loss 0.3239, time 230.58ms, mfu 27.72%
iter 123000: loss 0.3404, time 231.12ms, mfu 27.69%
iter 123050: loss 0.3248, time 227.64ms, mfu 27.71%
iter 123100: loss 0.3307, time 230.45ms, mfu 27.69%
iter 123150: loss 0.3233, time 229.97ms, mfu 27.68%
iter 123200: loss 0.3320, time 230.64ms, mfu 27.66%
iter 123250: loss 0.3233, time 227.57ms, mfu 27.68%
iter 123300: loss 0.3305, time 227.66ms, mfu 27.69%
iter 123350: loss 0.3310, time 229.37ms, mfu 27.69%
iter 123400: loss 0.3403, time 230.77ms, mfu 27.67%
iter 123450: loss 0.3289, time 230.26ms, mfu 27.65%
iter 123500: loss 0.3379, time 227.63ms, mfu 27.67%
iter 123550: loss 0.3373, time 227.56ms, mfu 27.69%
iter 123600: loss 0.3343, time 227.60ms, mfu 27.71%
iter 123650: loss 0.3308, time 227.60ms, mfu 27.72%
