step 352000: train loss 0.3088, val loss 0.3101
saving checkpoint to out-stockfish-8layer
iter 352000: loss 0.3113, time 6051.09ms, mfu -100.00%
iter 352050: loss 0.3073, time 231.53ms, mfu 27.38%
iter 352100: loss 0.3060, time 229.28ms, mfu 27.41%
iter 352150: loss 0.3138, time 233.25ms, mfu 27.39%
iter 352200: loss 0.3109, time 228.71ms, mfu 27.42%
iter 352250: loss 0.3084, time 229.41ms, mfu 27.44%
iter 352300: loss 0.3102, time 231.90ms, mfu 27.43%
iter 352350: loss 0.3012, time 229.28ms, mfu 27.46%
iter 352400: loss 0.3023, time 229.42ms, mfu 27.47%
iter 352450: loss 0.3177, time 229.21ms, mfu 27.49%
iter 352500: loss 0.3105, time 231.18ms, mfu 27.49%
iter 352550: loss 0.3044, time 228.35ms, mfu 27.51%
iter 352600: loss 0.3122, time 229.61ms, mfu 27.52%
iter 352650: loss 0.3118, time 229.42ms, mfu 27.53%
iter 352700: loss 0.3105, time 228.29ms, mfu 27.56%
iter 352750: loss 0.3074, time 228.81ms, mfu 27.57%
iter 352800: loss 0.3084, time 229.11ms, mfu 27.58%
iter 352850: loss 0.3116, time 229.52ms, mfu 27.59%
iter 352900: loss 0.3096, time 231.52ms, mfu 27.57%
iter 352950: loss 0.3046, time 229.14ms, mfu 27.58%
iter 353000: loss 0.3074, time 228.68ms, mfu 27.59%
iter 353050: loss 0.3150, time 228.54ms, mfu 27.61%
iter 353100: loss 0.3110, time 229.13ms, mfu 27.61%
iter 353150: loss 0.3085, time 229.14ms, mfu 27.62%
iter 353200: loss 0.3036, time 228.93ms, mfu 27.63%
iter 353250: loss 0.3125, time 229.09ms, mfu 27.63%
iter 353300: loss 0.3145, time 230.36ms, mfu 27.62%
iter 353350: loss 0.3136, time 229.21ms, mfu 27.63%
iter 353400: loss 0.3185, time 228.82ms, mfu 27.63%
iter 353450: loss 0.3088, time 229.07ms, mfu 27.64%
iter 353500: loss 0.3063, time 229.19ms, mfu 27.64%
iter 353550: loss 0.3117, time 228.74ms, mfu 27.65%
iter 353600: loss 0.3032, time 228.98ms, mfu 27.65%
iter 353650: loss 0.3143, time 228.60ms, mfu 27.66%
iter 353700: loss 0.3063, time 229.95ms, mfu 27.65%
iter 353750: loss 0.3091, time 230.05ms, mfu 27.64%
iter 353800: loss 0.3111, time 229.16ms, mfu 27.65%
iter 353850: loss 0.3010, time 229.47ms, mfu 27.64%
iter 353900: loss 0.3107, time 229.12ms, mfu 27.65%
iter 353950: loss 0.3157, time 228.86ms, mfu 27.65%
iter 354000: loss 0.3069, time 228.93ms, mfu 27.66%
iter 354050: loss 0.3185, time 228.34ms, mfu 27.67%
Traceback (most recent call last):
  File "/app/train.py", line 309, in <module>
    scaler.scale(loss).backward()
  File "/opt/conda/lib/python3.10/site-packages/torch/_tensor.py", line 492, in backward
    torch.autograd.backward(
  File "/opt/conda/lib/python3.10/site-packages/torch/autograd/__init__.py", line 251, in backward
    Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
KeyboardInterrupt
