step 0: train loss 3.7578, val loss 3.7568
iter 0: loss 3.7590, time 20149.72ms, mfu -100.00%
iter 10: loss 2.8475, time 872.94ms, mfu 29.95%
iter 20: loss 2.1406, time 872.35ms, mfu 29.95%
iter 30: loss 2.0277, time 873.51ms, mfu 29.95%
iter 40: loss 1.9617, time 872.16ms, mfu 29.95%
iter 50: loss 1.9302, time 872.72ms, mfu 29.95%
iter 60: loss 1.8530, time 871.56ms, mfu 29.96%
iter 70: loss 1.8046, time 871.24ms, mfu 29.96%
iter 80: loss 1.7228, time 871.78ms, mfu 29.97%
iter 90: loss 1.6985, time 872.08ms, mfu 29.97%
iter 100: loss 1.6794, time 872.53ms, mfu 29.97%
iter 110: loss 1.6204, time 872.25ms, mfu 29.97%
iter 120: loss 1.5831, time 871.85ms, mfu 29.97%
iter 130: loss 1.5789, time 871.76ms, mfu 29.97%
iter 140: loss 1.5213, time 872.72ms, mfu 29.97%
iter 150: loss 1.4949, time 872.12ms, mfu 29.97%
iter 160: loss 1.4672, time 872.17ms, mfu 29.97%
iter 170: loss 1.4880, time 871.37ms, mfu 29.98%
iter 180: loss 1.4081, time 873.67ms, mfu 29.97%
iter 190: loss 1.3962, time 872.01ms, mfu 29.97%
iter 200: loss 1.3711, time 871.21ms, mfu 29.98%
iter 210: loss 1.3211, time 871.40ms, mfu 29.98%
iter 220: loss 1.3350, time 872.36ms, mfu 29.98%
