step 0: train loss 3.7578, val loss 3.7568
iter 0: loss 3.7552, time 19900.45ms, mfu -100.00%
iter 50: loss 1.9889, time 595.98ms, mfu 29.25%
iter 100: loss 1.7705, time 596.07ms, mfu 29.25%
iter 150: loss 1.6785, time 595.99ms, mfu 29.25%
iter 200: loss 1.6273, time 599.51ms, mfu 29.23%
iter 250: loss 1.5552, time 600.33ms, mfu 29.21%
iter 300: loss 1.5487, time 598.49ms, mfu 29.20%
iter 350: loss 1.4333, time 600.11ms, mfu 29.19%
iter 400: loss 1.3114, time 601.54ms, mfu 29.16%
iter 450: loss 1.2236, time 600.71ms, mfu 29.15%
iter 500: loss 1.1363, time 601.67ms, mfu 29.13%
iter 550: loss 1.0836, time 604.31ms, mfu 29.10%
iter 600: loss 1.0464, time 602.20ms, mfu 29.09%
iter 650: loss 1.0009, time 603.03ms, mfu 29.07%
iter 700: loss 0.9263, time 602.71ms, mfu 29.05%
iter 750: loss 0.8926, time 601.95ms, mfu 29.04%
iter 800: loss 0.8458, time 603.53ms, mfu 29.03%
iter 850: loss 0.8579, time 601.77ms, mfu 29.02%
iter 900: loss 0.7720, time 602.89ms, mfu 29.01%
iter 950: loss 0.7202, time 602.83ms, mfu 29.00%
iter 1000: loss 0.6967, time 601.27ms, mfu 29.00%
iter 1050: loss 0.7855, time 603.53ms, mfu 28.99%
iter 1100: loss 0.6706, time 602.22ms, mfu 28.98%
iter 1150: loss 0.6492, time 602.08ms, mfu 28.98%
iter 1200: loss 0.6297, time 603.98ms, mfu 28.97%
iter 1250: loss 0.6066, time 602.53ms, mfu 28.96%
iter 1300: loss 0.6004, time 601.58ms, mfu 28.97%
iter 1350: loss 0.7069, time 606.46ms, mfu 28.94%
iter 1400: loss 0.5931, time 602.12ms, mfu 28.94%
iter 1450: loss 0.5736, time 603.76ms, mfu 28.94%
iter 1500: loss 0.5755, time 600.53ms, mfu 28.94%
iter 1550: loss 0.5701, time 603.61ms, mfu 28.94%
iter 1600: loss 0.5477, time 604.39ms, mfu 28.93%
iter 1650: loss 0.5531, time 603.42ms, mfu 28.92%
iter 1700: loss 0.5461, time 607.94ms, mfu 28.90%
iter 1750: loss 0.5433, time 603.36ms, mfu 28.90%
iter 1800: loss 0.8177, time 603.50ms, mfu 28.90%
iter 1850: loss 0.5197, time 603.52ms, mfu 28.89%
iter 1900: loss 0.5183, time 604.11ms, mfu 28.89%
iter 1950: loss 0.5254, time 603.76ms, mfu 28.89%
iter 2000: loss 0.5126, time 608.04ms, mfu 28.87%
iter 2050: loss 0.5208, time 604.09ms, mfu 28.86%
iter 2100: loss 0.5619, time 605.91ms, mfu 28.86%
iter 2150: loss 0.5030, time 602.86ms, mfu 28.86%
iter 2200: loss 0.4924, time 604.00ms, mfu 28.86%
iter 2250: loss 0.4896, time 602.93ms, mfu 28.87%
iter 2300: loss 0.4815, time 607.66ms, mfu 28.85%
iter 2350: loss 0.4932, time 603.23ms, mfu 28.85%
iter 2400: loss 0.4641, time 604.90ms, mfu 28.85%
iter 2450: loss 0.4770, time 603.40ms, mfu 28.85%
iter 2500: loss 0.4840, time 605.26ms, mfu 28.85%
iter 2550: loss 0.4793, time 605.66ms, mfu 28.84%
iter 2600: loss 0.4661, time 599.74ms, mfu 28.86%
iter 2650: loss 0.4685, time 606.58ms, mfu 28.85%
iter 2700: loss 0.4761, time 604.86ms, mfu 28.85%
iter 2750: loss 0.4576, time 609.27ms, mfu 28.82%
iter 2800: loss 0.4499, time 604.21ms, mfu 28.83%
iter 2850: loss 0.4517, time 603.83ms, mfu 28.83%
iter 2900: loss 0.4699, time 603.08ms, mfu 28.84%
iter 2950: loss 0.4666, time 602.10ms, mfu 28.85%
iter 3000: loss 1.0385, time 601.43ms, mfu 28.86%
iter 3050: loss 0.4467, time 604.08ms, mfu 28.86%
iter 3100: loss 0.4446, time 604.18ms, mfu 28.86%
iter 3150: loss 0.4461, time 601.60ms, mfu 28.87%
iter 3200: loss 0.4422, time 604.59ms, mfu 28.87%
iter 3250: loss 0.4298, time 601.96ms, mfu 28.88%
iter 3300: loss 0.4458, time 606.76ms, mfu 28.86%
iter 3350: loss 0.4445, time 603.64ms, mfu 28.86%
iter 3400: loss 0.4244, time 605.76ms, mfu 28.85%
iter 3450: loss 0.4438, time 604.83ms, mfu 28.85%
iter 3500: loss 0.4418, time 602.41ms, mfu 28.86%
iter 3550: loss 0.4354, time 608.03ms, mfu 28.84%
iter 3600: loss 0.4292, time 605.06ms, mfu 28.84%
iter 3650: loss 0.4329, time 602.73ms, mfu 28.84%
iter 3700: loss 0.4314, time 606.04ms, mfu 28.84%
iter 3750: loss 0.4410, time 603.71ms, mfu 28.84%
iter 3800: loss 0.4254, time 610.27ms, mfu 28.81%
iter 3850: loss 0.4308, time 604.19ms, mfu 28.82%
iter 3900: loss 0.4264, time 605.24ms, mfu 28.81%
iter 3950: loss 0.4320, time 602.99ms, mfu 28.82%
step 4000: train loss 0.4246, val loss 0.4263
saving checkpoint to out-stockfish_xl
iter 4000: loss 0.4298, time 20667.02ms, mfu 26.03%
iter 4050: loss 0.4180, time 601.15ms, mfu 26.32%
iter 4100: loss 0.4088, time 602.38ms, mfu 26.58%
iter 4150: loss 0.4231, time 603.74ms, mfu 26.81%
iter 4200: loss 0.4216, time 604.90ms, mfu 27.01%
iter 4250: loss 0.4199, time 605.07ms, mfu 27.19%
iter 4300: loss 0.4171, time 616.32ms, mfu 27.30%
iter 4350: loss 0.4247, time 602.31ms, mfu 27.46%
iter 4400: loss 0.4096, time 607.22ms, mfu 27.59%
iter 4450: loss 0.4212, time 605.77ms, mfu 27.71%
iter 4500: loss 0.4120, time 607.76ms, mfu 27.80%
iter 4550: loss 0.4224, time 607.07ms, mfu 27.90%
iter 4600: loss 0.4068, time 605.17ms, mfu 27.99%
iter 4650: loss 0.4196, time 604.66ms, mfu 28.07%
iter 4700: loss 0.4119, time 604.29ms, mfu 28.15%
iter 4750: loss 0.4034, time 606.54ms, mfu 28.21%
iter 4800: loss 0.4179, time 603.05ms, mfu 28.28%
iter 4850: loss 0.4056, time 604.95ms, mfu 28.33%
iter 4900: loss 0.4095, time 604.75ms, mfu 28.38%
iter 4950: loss 0.4013, time 602.97ms, mfu 28.43%
iter 5000: loss 0.3936, time 601.74ms, mfu 28.49%
iter 5050: loss 0.4192, time 606.84ms, mfu 28.51%
iter 5100: loss 0.4006, time 608.88ms, mfu 28.52%
iter 5150: loss 0.4222, time 602.20ms, mfu 28.56%
iter 5200: loss 0.4098, time 603.51ms, mfu 28.60%
iter 5250: loss 0.4164, time 607.11ms, mfu 28.61%
iter 5300: loss 0.3992, time 606.56ms, mfu 28.62%
iter 5350: loss 0.4094, time 603.31ms, mfu 28.65%
iter 5400: loss 0.4112, time 603.17ms, mfu 28.67%
iter 5450: loss 0.3984, time 606.58ms, mfu 28.68%
iter 5500: loss 0.4023, time 604.53ms, mfu 28.69%
iter 5550: loss 0.3959, time 604.59ms, mfu 28.71%
iter 5600: loss 0.4143, time 608.06ms, mfu 28.70%
iter 5650: loss 0.4075, time 603.26ms, mfu 28.72%
iter 5700: loss 0.3920, time 603.51ms, mfu 28.74%
iter 5750: loss 0.3984, time 602.88ms, mfu 28.76%
iter 5800: loss 0.3926, time 605.25ms, mfu 28.76%
iter 5850: loss 0.3985, time 606.28ms, mfu 28.76%
iter 5900: loss 0.3868, time 605.19ms, mfu 28.76%
iter 5950: loss 0.4101, time 605.65ms, mfu 28.76%
iter 6000: loss 0.3917, time 606.34ms, mfu 28.76%
iter 6050: loss 0.4022, time 606.41ms, mfu 28.76%
iter 6100: loss 0.3986, time 606.93ms, mfu 28.76%
iter 6150: loss 0.3942, time 606.39ms, mfu 28.76%
iter 6200: loss 0.3914, time 604.00ms, mfu 28.77%
iter 6250: loss 0.3867, time 603.73ms, mfu 28.78%
iter 6300: loss 0.3961, time 605.81ms, mfu 28.78%
iter 6350: loss 0.4023, time 603.04ms, mfu 28.79%
iter 6400: loss 0.3831, time 603.93ms, mfu 28.80%
iter 6450: loss 0.4003, time 601.32ms, mfu 28.82%
iter 6500: loss 0.3947, time 611.63ms, mfu 28.78%
iter 6550: loss 0.3950, time 604.77ms, mfu 28.79%
iter 6600: loss 0.3927, time 603.84ms, mfu 28.79%
iter 6650: loss 0.3843, time 599.98ms, mfu 28.82%
iter 6700: loss 0.3879, time 603.69ms, mfu 28.83%
iter 6750: loss 0.4045, time 607.09ms, mfu 28.81%
iter 6800: loss 0.3924, time 604.51ms, mfu 28.82%
iter 6850: loss 0.3958, time 601.18ms, mfu 28.83%
iter 6900: loss 0.3842, time 604.23ms, mfu 28.84%
iter 6950: loss 0.3982, time 607.05ms, mfu 28.82%
iter 7000: loss 0.3946, time 603.36ms, mfu 28.83%
iter 7050: loss 0.3721, time 602.91ms, mfu 28.84%
iter 7100: loss 0.3833, time 612.14ms, mfu 28.80%
iter 7150: loss 0.3831, time 603.44ms, mfu 28.81%
iter 7200: loss 0.3822, time 603.68ms, mfu 28.82%
iter 7250: loss 0.3911, time 602.12ms, mfu 28.83%
iter 7300: loss 0.3820, time 603.13ms, mfu 28.84%
iter 7350: loss 0.3792, time 601.95ms, mfu 28.85%
iter 7400: loss 0.3865, time 603.94ms, mfu 28.85%
iter 7450: loss 0.3840, time 609.64ms, mfu 28.82%
iter 7500: loss 0.3926, time 604.70ms, mfu 28.82%
iter 7550: loss 0.3879, time 614.34ms, mfu 28.78%
iter 7600: loss 0.3864, time 604.60ms, mfu 28.78%
iter 7650: loss 0.3836, time 608.80ms, mfu 28.77%
iter 7700: loss 0.3743, time 602.81ms, mfu 28.78%
iter 7750: loss 0.3795, time 603.93ms, mfu 28.79%
iter 7800: loss 0.3849, time 604.54ms, mfu 28.80%
iter 7850: loss 0.3754, time 607.48ms, mfu 28.78%
iter 7900: loss 0.3675, time 602.94ms, mfu 28.80%
iter 7950: loss 0.3738, time 604.45ms, mfu 28.80%
step 8000: train loss 0.3783, val loss 0.3800
saving checkpoint to out-stockfish_xl
iter 8000: loss 0.3752, time 21077.13ms, mfu 26.00%
iter 8050: loss 0.3756, time 604.06ms, mfu 26.29%
iter 8100: loss 0.3832, time 610.40ms, mfu 26.52%
iter 8150: loss 0.3715, time 605.08ms, mfu 26.74%
iter 8200: loss 0.3823, time 605.32ms, mfu 26.95%
iter 8250: loss 0.3818, time 611.19ms, mfu 27.11%
iter 8300: loss 0.3724, time 603.41ms, mfu 27.28%
iter 8350: loss 0.3786, time 603.93ms, mfu 27.44%
iter 8400: loss 0.3764, time 600.58ms, mfu 27.60%
iter 8450: loss 0.3876, time 604.40ms, mfu 27.72%
iter 8500: loss 0.3767, time 603.47ms, mfu 27.84%
iter 8550: loss 0.3828, time 610.14ms, mfu 27.91%
iter 8600: loss 0.3592, time 610.66ms, mfu 27.98%
iter 8650: loss 0.3770, time 603.38ms, mfu 28.07%
iter 8700: loss 0.3751, time 605.40ms, mfu 28.14%
iter 8750: loss 0.3853, time 604.13ms, mfu 28.21%
iter 8800: loss 0.3716, time 609.82ms, mfu 28.25%
iter 8850: loss 0.3732, time 604.22ms, mfu 28.31%
iter 8900: loss 0.3705, time 605.17ms, mfu 28.36%
iter 8950: loss 0.3749, time 604.67ms, mfu 28.40%
iter 9000: loss 0.3778, time 604.57ms, mfu 28.45%
iter 9050: loss 0.3731, time 604.02ms, mfu 28.49%
iter 9100: loss 0.3732, time 602.34ms, mfu 28.53%
iter 9150: loss 0.3719, time 606.08ms, mfu 28.56%
iter 9200: loss 0.3731, time 604.63ms, mfu 28.58%
iter 9250: loss 0.3745, time 612.48ms, mfu 28.57%
iter 9300: loss 0.3664, time 602.91ms, mfu 28.60%
iter 9350: loss 0.3652, time 604.49ms, mfu 28.63%
iter 9400: loss 0.3586, time 609.06ms, mfu 28.63%
iter 9450: loss 0.3623, time 602.78ms, mfu 28.66%
iter 9500: loss 0.3646, time 603.72ms, mfu 28.68%
iter 9550: loss 0.3710, time 603.27ms, mfu 28.70%
iter 9600: loss 0.3676, time 604.24ms, mfu 28.71%
iter 9650: loss 0.3645, time 603.85ms, mfu 28.73%
iter 9700: loss 0.3638, time 603.84ms, mfu 28.74%
iter 9750: loss 0.3751, time 604.35ms, mfu 28.75%
iter 9800: loss 0.3737, time 605.19ms, mfu 28.76%
iter 9850: loss 0.3767, time 605.67ms, mfu 28.76%
iter 9900: loss 0.3592, time 603.33ms, mfu 28.77%
iter 9950: loss 0.3691, time 604.95ms, mfu 28.78%
iter 10000: loss 0.3635, time 603.63ms, mfu 28.79%
iter 10050: loss 0.3618, time 604.17ms, mfu 28.79%
iter 10100: loss 0.3544, time 606.30ms, mfu 28.79%
iter 10150: loss 0.3633, time 613.00ms, mfu 28.75%
iter 10200: loss 0.3583, time 602.83ms, mfu 28.77%
iter 10250: loss 0.3669, time 604.33ms, mfu 28.78%
iter 10300: loss 0.3603, time 601.40ms, mfu 28.80%
iter 10350: loss 0.3636, time 609.77ms, mfu 28.78%
iter 10400: loss 0.3626, time 604.33ms, mfu 28.78%
iter 10450: loss 0.3691, time 604.06ms, mfu 28.79%
iter 10500: loss 0.3521, time 604.71ms, mfu 28.79%
iter 10550: loss 0.3521, time 606.87ms, mfu 28.79%
iter 10600: loss 0.3564, time 603.05ms, mfu 28.80%
iter 10650: loss 0.3614, time 605.25ms, mfu 28.80%
iter 10700: loss 0.3612, time 603.62ms, mfu 28.81%
iter 10750: loss 0.3633, time 603.50ms, mfu 28.81%
iter 10800: loss 0.3638, time 604.02ms, mfu 28.82%
iter 10850: loss 0.3656, time 604.59ms, mfu 28.82%
iter 10900: loss 0.3538, time 604.17ms, mfu 28.82%
iter 10950: loss 0.3656, time 611.51ms, mfu 28.79%
iter 11000: loss 0.3525, time 602.27ms, mfu 28.81%
iter 11050: loss 0.3535, time 604.68ms, mfu 28.81%
iter 11100: loss 0.3548, time 604.65ms, mfu 28.81%
iter 11150: loss 0.3500, time 604.39ms, mfu 28.81%
iter 11200: loss 0.3625, time 603.65ms, mfu 28.82%
iter 11250: loss 0.3515, time 607.80ms, mfu 28.80%
iter 11300: loss 0.3691, time 603.95ms, mfu 28.81%
iter 11350: loss 0.3581, time 602.77ms, mfu 28.82%
iter 11400: loss 0.3546, time 606.53ms, mfu 28.81%
iter 11450: loss 0.3599, time 604.00ms, mfu 28.82%
iter 11500: loss 0.3633, time 607.80ms, mfu 28.80%
iter 11550: loss 0.3625, time 603.19ms, mfu 28.81%
iter 11600: loss 0.3644, time 603.17ms, mfu 28.82%
iter 11650: loss 0.3575, time 604.37ms, mfu 28.82%
iter 11700: loss 0.3641, time 603.82ms, mfu 28.83%
iter 11750: loss 0.3639, time 609.58ms, mfu 28.80%
iter 11800: loss 0.3635, time 603.34ms, mfu 28.81%
iter 11850: loss 0.3601, time 603.53ms, mfu 28.82%
iter 11900: loss 0.3588, time 608.19ms, mfu 28.80%
iter 11950: loss 0.3572, time 604.52ms, mfu 28.81%
step 12000: train loss 0.3571, val loss 0.3580
saving checkpoint to out-stockfish_xl
iter 12000: loss 0.3657, time 21332.87ms, mfu 26.01%
iter 12050: loss 0.3583, time 605.95ms, mfu 26.28%
iter 12100: loss 0.3587, time 603.09ms, mfu 26.55%
iter 12150: loss 0.3536, time 602.70ms, mfu 26.78%
iter 12200: loss 0.3675, time 603.95ms, mfu 26.99%
iter 12250: loss 0.3562, time 602.06ms, mfu 27.19%
iter 12300: loss 0.3577, time 609.76ms, mfu 27.33%
iter 12350: loss 0.3554, time 603.80ms, mfu 27.48%
iter 12400: loss 0.3571, time 605.82ms, mfu 27.61%
iter 12450: loss 0.3559, time 603.31ms, mfu 27.74%
iter 12500: loss 0.3499, time 603.27ms, mfu 27.85%
iter 12550: loss 0.3445, time 604.41ms, mfu 27.95%
iter 12600: loss 0.3587, time 605.04ms, mfu 28.04%
iter 12650: loss 0.3542, time 604.36ms, mfu 28.12%
iter 12700: loss 0.3630, time 606.37ms, mfu 28.18%
iter 12750: loss 0.3486, time 610.21ms, mfu 28.22%
iter 12800: loss 0.3594, time 604.59ms, mfu 28.28%
iter 12850: loss 0.3487, time 607.60ms, mfu 28.32%
iter 12900: loss 0.3500, time 604.04ms, mfu 28.37%
iter 12950: loss 0.3489, time 603.90ms, mfu 28.42%
iter 13000: loss 0.3537, time 605.43ms, mfu 28.46%
iter 13050: loss 0.3636, time 607.24ms, mfu 28.48%
iter 13100: loss 0.3547, time 603.44ms, mfu 28.52%
iter 13150: loss 0.3540, time 604.84ms, mfu 28.55%
iter 13200: loss 0.3474, time 602.27ms, mfu 28.59%
iter 13250: loss 0.3554, time 604.14ms, mfu 28.62%
iter 13300: loss 0.3511, time 605.29ms, mfu 28.64%
iter 13350: loss 0.3471, time 603.95ms, mfu 28.66%
iter 13400: loss 0.3507, time 603.35ms, mfu 28.68%
iter 13450: loss 0.3652, time 605.34ms, mfu 28.69%
iter 13500: loss 0.3529, time 604.71ms, mfu 28.71%
iter 13550: loss 0.3341, time 604.49ms, mfu 28.72%
iter 13600: loss 0.3539, time 604.08ms, mfu 28.73%
iter 13650: loss 0.3482, time 606.59ms, mfu 28.73%
iter 13700: loss 0.3504, time 602.68ms, mfu 28.75%
iter 13750: loss 0.3526, time 603.48ms, mfu 28.76%
iter 13800: loss 0.3490, time 602.20ms, mfu 28.78%
iter 13850: loss 0.3473, time 603.51ms, mfu 28.79%
iter 13900: loss 0.3587, time 603.75ms, mfu 28.80%
iter 13950: loss 0.3414, time 607.75ms, mfu 28.79%
iter 14000: loss 0.3532, time 604.35ms, mfu 28.79%
iter 14050: loss 0.3572, time 604.42ms, mfu 28.80%
iter 14100: loss 0.3395, time 603.78ms, mfu 28.81%
iter 14150: loss 0.3536, time 603.05ms, mfu 28.82%
iter 14200: loss 0.3549, time 603.81ms, mfu 28.82%
iter 14250: loss 0.3538, time 605.08ms, mfu 28.82%
iter 14300: loss 0.3527, time 614.37ms, mfu 28.77%
iter 14350: loss 0.3489, time 608.37ms, mfu 28.76%
iter 14400: loss 0.3467, time 607.99ms, mfu 28.75%
iter 14450: loss 0.3529, time 607.08ms, mfu 28.75%
iter 14500: loss 0.3476, time 607.32ms, mfu 28.74%
iter 14550: loss 0.3611, time 606.00ms, mfu 28.75%
iter 14600: loss 0.3517, time 604.10ms, mfu 28.76%
iter 14650: loss 0.3464, time 606.27ms, mfu 28.76%
iter 14700: loss 0.3397, time 604.57ms, mfu 28.76%
iter 14750: loss 0.3538, time 603.69ms, mfu 28.77%
iter 14800: loss 0.3489, time 610.28ms, mfu 28.75%
iter 14850: loss 0.3402, time 604.27ms, mfu 28.76%
iter 14900: loss 0.3420, time 606.11ms, mfu 28.76%
iter 14950: loss 0.3503, time 609.35ms, mfu 28.75%
iter 15000: loss 0.3473, time 604.27ms, mfu 28.76%
iter 15050: loss 0.3402, time 604.02ms, mfu 28.77%
iter 15100: loss 0.3396, time 602.85ms, mfu 28.78%
iter 15150: loss 0.3525, time 602.88ms, mfu 28.79%
iter 15200: loss 0.3526, time 604.52ms, mfu 28.80%
iter 15250: loss 0.3375, time 603.73ms, mfu 28.81%
iter 15300: loss 0.3388, time 607.92ms, mfu 28.79%
iter 15350: loss 0.3456, time 603.53ms, mfu 28.80%
iter 15400: loss 0.3539, time 608.43ms, mfu 28.79%
iter 15450: loss 0.3530, time 602.04ms, mfu 28.80%
iter 15500: loss 0.3562, time 605.24ms, mfu 28.80%
iter 15550: loss 0.3388, time 614.76ms, mfu 28.76%
