step 36000: train loss 0.3142, val loss 0.3158
saving checkpoint to out-stockfish-xl
iter 36000: loss 0.3217, time 22045.25ms, mfu -100.00%
iter 36050: loss 0.3000, time 595.05ms, mfu 29.29%
iter 36100: loss 0.3254, time 595.40ms, mfu 29.29%
iter 36150: loss 0.3216, time 598.04ms, mfu 29.28%
iter 36200: loss 0.3205, time 596.34ms, mfu 29.27%
iter 36250: loss 0.3102, time 600.18ms, mfu 29.25%
iter 36300: loss 0.3173, time 600.55ms, mfu 29.23%
iter 36350: loss 0.3054, time 604.55ms, mfu 29.19%
iter 36400: loss 0.3173, time 603.09ms, mfu 29.16%
iter 36450: loss 0.3153, time 602.41ms, mfu 29.14%
iter 36500: loss 0.3142, time 604.95ms, mfu 29.10%
iter 36550: loss 0.3171, time 601.17ms, mfu 29.09%
iter 36600: loss 0.3205, time 602.72ms, mfu 29.08%
iter 36650: loss 0.3179, time 601.68ms, mfu 29.06%
iter 36700: loss 0.3132, time 602.10ms, mfu 29.05%
iter 36750: loss 0.3130, time 601.72ms, mfu 29.04%
iter 36800: loss 0.3110, time 603.28ms, mfu 29.03%
iter 36850: loss 0.3078, time 600.72ms, mfu 29.03%
iter 36900: loss 0.3130, time 602.89ms, mfu 29.02%
iter 36950: loss 0.3115, time 607.74ms, mfu 28.98%
iter 37000: loss 0.3225, time 601.63ms, mfu 28.98%
iter 37050: loss 0.3118, time 600.79ms, mfu 28.98%
iter 37100: loss 0.3153, time 606.51ms, mfu 28.96%
iter 37150: loss 0.3123, time 602.05ms, mfu 28.96%
iter 37200: loss 0.3143, time 605.08ms, mfu 28.94%
iter 37250: loss 0.3077, time 602.44ms, mfu 28.94%
iter 37300: loss 0.3064, time 601.59ms, mfu 28.95%
iter 37350: loss 0.3212, time 603.81ms, mfu 28.94%
iter 37400: loss 0.3130, time 604.98ms, mfu 28.93%
iter 37450: loss 0.3104, time 602.82ms, mfu 28.92%
iter 37500: loss 0.3173, time 601.46ms, mfu 28.93%
iter 37550: loss 0.3147, time 606.08ms, mfu 28.91%
iter 37600: loss 0.3091, time 603.15ms, mfu 28.91%
iter 37650: loss 0.3102, time 601.95ms, mfu 28.92%
iter 37700: loss 0.3157, time 604.62ms, mfu 28.91%
iter 37750: loss 0.3179, time 601.92ms, mfu 28.91%
iter 37800: loss 0.3120, time 602.49ms, mfu 28.91%
iter 37850: loss 0.3081, time 603.87ms, mfu 28.91%
iter 37900: loss 0.3081, time 603.92ms, mfu 28.90%
iter 37950: loss 0.3153, time 603.52ms, mfu 28.90%
iter 38000: loss 0.3111, time 604.11ms, mfu 28.90%
iter 38050: loss 0.3185, time 601.92ms, mfu 28.90%
iter 38100: loss 0.3128, time 601.60ms, mfu 28.91%
iter 38150: loss 0.3175, time 612.06ms, mfu 28.87%
iter 38200: loss 0.3122, time 602.68ms, mfu 28.87%
iter 38250: loss 0.3106, time 603.70ms, mfu 28.87%
iter 38300: loss 0.3026, time 600.24ms, mfu 28.89%
iter 38350: loss 0.3193, time 603.93ms, mfu 28.89%
iter 38400: loss 0.3025, time 607.14ms, mfu 28.87%
iter 38450: loss 0.3058, time 605.00ms, mfu 28.86%
iter 38500: loss 0.3143, time 603.16ms, mfu 28.87%
iter 38550: loss 0.3198, time 603.97ms, mfu 28.87%
iter 38600: loss 0.3082, time 605.28ms, mfu 28.86%
iter 38650: loss 0.3101, time 606.73ms, mfu 28.85%
iter 38700: loss 0.3208, time 604.08ms, mfu 28.85%
iter 38750: loss 0.3075, time 603.26ms, mfu 28.85%
iter 38800: loss 0.3063, time 604.96ms, mfu 28.85%
iter 38850: loss 0.3101, time 602.75ms, mfu 28.85%
iter 38900: loss 0.3157, time 601.62ms, mfu 28.87%
iter 38950: loss 0.3215, time 609.42ms, mfu 28.84%
iter 39000: loss 0.3152, time 606.88ms, mfu 28.83%
iter 39050: loss 0.3140, time 604.16ms, mfu 28.83%
iter 39100: loss 0.3068, time 603.27ms, mfu 28.84%
iter 39150: loss 0.3102, time 603.29ms, mfu 28.84%
iter 39200: loss 0.3093, time 607.97ms, mfu 28.82%
iter 39250: loss 0.2994, time 601.43ms, mfu 28.84%
iter 39300: loss 0.3126, time 602.85ms, mfu 28.85%
iter 39350: loss 0.3114, time 602.10ms, mfu 28.86%
iter 39400: loss 0.3026, time 602.59ms, mfu 28.86%
iter 39450: loss 0.3128, time 604.88ms, mfu 28.86%
iter 39500: loss 0.3162, time 602.40ms, mfu 28.87%
iter 39550: loss 0.3082, time 604.56ms, mfu 28.86%
iter 39600: loss 0.3068, time 603.96ms, mfu 28.86%
iter 39650: loss 0.3081, time 604.27ms, mfu 28.86%
iter 39700: loss 0.3101, time 603.06ms, mfu 28.87%
iter 39750: loss 0.3186, time 601.75ms, mfu 28.88%
iter 39800: loss 0.3076, time 603.78ms, mfu 28.88%
iter 39850: loss 0.3103, time 604.02ms, mfu 28.87%
iter 39900: loss 0.3125, time 607.03ms, mfu 28.86%
iter 39950: loss 0.3138, time 606.37ms, mfu 28.85%
step 40000: train loss 0.3110, val loss 0.3143
saving checkpoint to out-stockfish-xl
iter 40000: loss 0.3185, time 21406.48ms, mfu 26.04%
iter 40050: loss 0.3074, time 605.54ms, mfu 26.32%
iter 40100: loss 0.2994, time 599.40ms, mfu 26.59%
iter 40150: loss 0.3114, time 602.89ms, mfu 26.83%
iter 40200: loss 0.3081, time 608.93ms, mfu 27.01%
iter 40250: loss 0.3109, time 604.44ms, mfu 27.19%
iter 40300: loss 0.3108, time 604.49ms, mfu 27.35%
iter 40350: loss 0.3160, time 605.63ms, mfu 27.50%
iter 40400: loss 0.3047, time 602.96ms, mfu 27.64%
iter 40450: loss 0.3094, time 601.75ms, mfu 27.77%
iter 40500: loss 0.3060, time 603.98ms, mfu 27.88%
iter 40550: loss 0.3175, time 603.11ms, mfu 27.98%
iter 40600: loss 0.3085, time 603.61ms, mfu 28.07%
iter 40650: loss 0.3194, time 602.26ms, mfu 28.16%
iter 40700: loss 0.3111, time 605.09ms, mfu 28.22%
iter 40750: loss 0.3048, time 604.68ms, mfu 28.28%
iter 40800: loss 0.3103, time 603.18ms, mfu 28.34%
iter 40850: loss 0.3075, time 605.85ms, mfu 28.39%
iter 40900: loss 0.3084, time 605.40ms, mfu 28.43%
iter 40950: loss 0.3003, time 609.53ms, mfu 28.44%
iter 41000: loss 0.3031, time 602.04ms, mfu 28.50%
iter 41050: loss 0.3205, time 609.61ms, mfu 28.50%
iter 41100: loss 0.3066, time 606.46ms, mfu 28.53%
iter 41150: loss 0.3200, time 602.23ms, mfu 28.57%
iter 41200: loss 0.3157, time 602.08ms, mfu 28.61%
iter 41250: loss 0.3195, time 607.86ms, mfu 28.61%
iter 41300: loss 0.3032, time 604.84ms, mfu 28.63%
iter 41350: loss 0.3190, time 605.70ms, mfu 28.65%
iter 41400: loss 0.3143, time 603.25ms, mfu 28.67%
iter 41450: loss 0.3044, time 603.97ms, mfu 28.69%
iter 41500: loss 0.3064, time 604.59ms, mfu 28.71%
iter 41550: loss 0.3089, time 603.38ms, mfu 28.72%
iter 41600: loss 0.3222, time 602.86ms, mfu 28.74%
iter 41650: loss 0.3167, time 602.16ms, mfu 28.76%
iter 41700: loss 0.3047, time 601.31ms, mfu 28.79%
iter 41750: loss 0.3062, time 604.70ms, mfu 28.79%
iter 41800: loss 0.3065, time 606.36ms, mfu 28.79%
iter 41850: loss 0.3098, time 604.83ms, mfu 28.79%
iter 41900: loss 0.3040, time 608.34ms, mfu 28.77%
iter 41950: loss 0.3133, time 606.67ms, mfu 28.77%
iter 42000: loss 0.3069, time 604.70ms, mfu 28.78%
iter 42050: loss 0.3144, time 603.84ms, mfu 28.78%
iter 42100: loss 0.3154, time 603.10ms, mfu 28.80%
iter 42150: loss 0.3096, time 602.29ms, mfu 28.81%
iter 42200: loss 0.3057, time 604.13ms, mfu 28.82%
iter 42250: loss 0.3019, time 604.96ms, mfu 28.81%
iter 42300: loss 0.3138, time 607.00ms, mfu 28.80%
iter 42350: loss 0.3178, time 603.33ms, mfu 28.81%
iter 42400: loss 0.3028, time 600.88ms, mfu 28.83%
iter 42450: loss 0.3145, time 601.10ms, mfu 28.85%
iter 42500: loss 0.3127, time 606.51ms, mfu 28.84%
iter 42550: loss 0.3120, time 604.39ms, mfu 28.84%
iter 42600: loss 0.3136, time 607.33ms, mfu 28.82%
iter 42650: loss 0.3062, time 604.73ms, mfu 28.82%
iter 42700: loss 0.3070, time 609.49ms, mfu 28.80%
iter 42750: loss 0.3255, time 604.48ms, mfu 28.81%
iter 42800: loss 0.3133, time 604.91ms, mfu 28.81%
iter 42850: loss 0.3162, time 604.02ms, mfu 28.81%
iter 42900: loss 0.3064, time 606.18ms, mfu 28.81%
iter 42950: loss 0.3168, time 610.16ms, mfu 28.78%
iter 43000: loss 0.3148, time 604.14ms, mfu 28.79%
iter 43050: loss 0.2987, time 605.37ms, mfu 28.79%
iter 43100: loss 0.3091, time 601.75ms, mfu 28.81%
iter 43150: loss 0.3067, time 604.74ms, mfu 28.81%
iter 43200: loss 0.2995, time 611.03ms, mfu 28.78%
iter 43250: loss 0.3123, time 601.72ms, mfu 28.80%
iter 43300: loss 0.3051, time 602.12ms, mfu 28.81%
iter 43350: loss 0.3057, time 605.19ms, mfu 28.81%
iter 43400: loss 0.3127, time 605.91ms, mfu 28.81%
iter 43450: loss 0.3144, time 607.17ms, mfu 28.80%
iter 43500: loss 0.3214, time 603.21ms, mfu 28.81%
iter 43550: loss 0.3151, time 603.22ms, mfu 28.82%
iter 43600: loss 0.3125, time 605.95ms, mfu 28.81%
iter 43650: loss 0.3089, time 606.39ms, mfu 28.80%
iter 43700: loss 0.3038, time 605.84ms, mfu 28.80%
iter 43750: loss 0.3044, time 603.19ms, mfu 28.81%
iter 43800: loss 0.3098, time 603.42ms, mfu 28.82%
iter 43850: loss 0.3029, time 601.88ms, mfu 28.83%
iter 43900: loss 0.3011, time 602.80ms, mfu 28.84%
