step 132000: train loss 0.2832, val loss 0.2855
saving checkpoint to out-stockfish-xl
iter 132000: loss 0.2880, time 21335.13ms, mfu -100.00%
iter 132050: loss 0.2722, time 597.46ms, mfu 29.17%
iter 132100: loss 0.2961, time 595.86ms, mfu 29.18%
iter 132150: loss 0.2882, time 596.47ms, mfu 29.19%
iter 132200: loss 0.2921, time 596.05ms, mfu 29.19%
iter 132250: loss 0.2824, time 595.61ms, mfu 29.20%
iter 132300: loss 0.2863, time 596.05ms, mfu 29.20%
iter 132350: loss 0.2748, time 596.03ms, mfu 29.21%
iter 132400: loss 0.2866, time 596.50ms, mfu 29.21%
iter 132450: loss 0.2883, time 597.36ms, mfu 29.21%
iter 132500: loss 0.2828, time 597.36ms, mfu 29.20%
iter 132550: loss 0.2860, time 596.82ms, mfu 29.20%
iter 132600: loss 0.2904, time 596.97ms, mfu 29.20%
iter 132650: loss 0.2868, time 598.00ms, mfu 29.20%
iter 132700: loss 0.2831, time 597.91ms, mfu 29.19%
iter 132750: loss 0.2841, time 596.90ms, mfu 29.19%
iter 132800: loss 0.2805, time 597.92ms, mfu 29.19%
iter 132850: loss 0.2795, time 595.95ms, mfu 29.20%
iter 132900: loss 0.2839, time 596.44ms, mfu 29.20%
iter 132950: loss 0.2832, time 598.84ms, mfu 29.19%
iter 133000: loss 0.2878, time 598.23ms, mfu 29.18%
iter 133050: loss 0.2846, time 598.38ms, mfu 29.18%
iter 133100: loss 0.2838, time 600.75ms, mfu 29.16%
iter 133150: loss 0.2832, time 598.99ms, mfu 29.16%
iter 133200: loss 0.2845, time 597.83ms, mfu 29.16%
iter 133250: loss 0.2768, time 596.52ms, mfu 29.16%
iter 133300: loss 0.2768, time 596.93ms, mfu 29.17%
iter 133350: loss 0.2931, time 596.68ms, mfu 29.17%
iter 133400: loss 0.2848, time 598.54ms, mfu 29.17%
iter 133450: loss 0.2797, time 599.94ms, mfu 29.15%
iter 133500: loss 0.2903, time 599.99ms, mfu 29.14%
iter 133550: loss 0.2866, time 603.34ms, mfu 29.12%
iter 133600: loss 0.2813, time 597.94ms, mfu 29.12%
iter 133650: loss 0.2808, time 599.39ms, mfu 29.12%
iter 133700: loss 0.2861, time 600.07ms, mfu 29.11%
iter 133750: loss 0.2880, time 598.37ms, mfu 29.11%
iter 133800: loss 0.2839, time 601.00ms, mfu 29.10%
iter 133850: loss 0.2818, time 603.32ms, mfu 29.08%
iter 133900: loss 0.2806, time 597.68ms, mfu 29.09%
iter 133950: loss 0.2873, time 599.76ms, mfu 29.09%
iter 134000: loss 0.2839, time 598.87ms, mfu 29.09%
iter 134050: loss 0.2850, time 603.02ms, mfu 29.07%
iter 134100: loss 0.2827, time 600.38ms, mfu 29.07%
iter 134150: loss 0.2924, time 599.64ms, mfu 29.07%
iter 134200: loss 0.2836, time 600.64ms, mfu 29.06%
iter 134250: loss 0.2822, time 598.27ms, mfu 29.07%
iter 134300: loss 0.2760, time 601.15ms, mfu 29.06%
iter 134350: loss 0.2877, time 601.57ms, mfu 29.05%
iter 134400: loss 0.2767, time 602.21ms, mfu 29.04%
iter 134450: loss 0.2746, time 601.02ms, mfu 29.04%
iter 134500: loss 0.3963, time 599.14ms, mfu 29.04%
iter 134550: loss 0.4043, time 600.39ms, mfu 29.04%
iter 134600: loss 1.4783, time 599.45ms, mfu 29.05%
iter 134650: loss 1.4844, time 600.25ms, mfu 29.04%
iter 134700: loss 0.7028, time 600.48ms, mfu 29.04%
iter 134750: loss 0.6560, time 601.36ms, mfu 29.04%
iter 134800: loss 0.3501, time 604.34ms, mfu 29.02%
iter 134850: loss 0.3241, time 600.02ms, mfu 29.02%
iter 134900: loss 0.2901, time 599.36ms, mfu 29.03%
iter 134950: loss 0.2952, time 600.82ms, mfu 29.03%
iter 135000: loss 0.2901, time 599.70ms, mfu 29.03%
iter 135050: loss 0.2865, time 599.16ms, mfu 29.04%
iter 135100: loss 0.2794, time 600.28ms, mfu 29.04%
iter 135150: loss 0.2855, time 600.18ms, mfu 29.04%
iter 135200: loss 0.2830, time 602.13ms, mfu 29.03%
iter 135250: loss 0.2736, time 601.14ms, mfu 29.02%
iter 135300: loss 0.2831, time 599.84ms, mfu 29.03%
iter 135350: loss 0.2850, time 601.17ms, mfu 29.02%
iter 135400: loss 0.2754, time 600.34ms, mfu 29.03%
iter 135450: loss 0.2849, time 602.71ms, mfu 29.01%
iter 135500: loss 0.2892, time 599.96ms, mfu 29.02%
iter 135550: loss 0.2820, time 601.99ms, mfu 29.01%
iter 135600: loss 0.2795, time 600.75ms, mfu 29.01%
iter 135650: loss 0.2808, time 604.01ms, mfu 29.00%
iter 135700: loss 0.2811, time 600.88ms, mfu 29.00%
iter 135750: loss 0.2898, time 602.31ms, mfu 28.99%
iter 135800: loss 0.2810, time 600.63ms, mfu 28.99%
iter 135850: loss 0.2861, time 599.72ms, mfu 29.00%
iter 135900: loss 0.2829, time 599.54ms, mfu 29.01%
iter 135950: loss 0.2830, time 601.70ms, mfu 29.00%
step 136000: train loss 0.2835, val loss 0.2877
saving checkpoint to out-stockfish-xl
iter 136000: loss 0.2930, time 21146.67ms, mfu 26.19%
iter 136050: loss 0.2813, time 597.04ms, mfu 26.49%
iter 136100: loss 0.2717, time 601.64ms, mfu 26.74%
iter 136150: loss 0.2825, time 603.25ms, mfu 26.95%
iter 136200: loss 0.2792, time 601.82ms, mfu 27.15%
iter 136250: loss 0.2819, time 602.08ms, mfu 27.33%
iter 136300: loss 0.2834, time 598.43ms, mfu 27.51%
iter 136350: loss 0.2889, time 602.75ms, mfu 27.65%
iter 136400: loss 0.2797, time 600.07ms, mfu 27.79%
iter 136450: loss 0.2855, time 602.84ms, mfu 27.90%
iter 136500: loss 0.2780, time 599.99ms, mfu 28.02%
iter 136550: loss 0.2901, time 599.22ms, mfu 28.13%
iter 136600: loss 0.2844, time 601.03ms, mfu 28.21%
iter 136650: loss 0.2930, time 601.70ms, mfu 28.29%
iter 136700: loss 0.2871, time 599.86ms, mfu 28.37%
iter 136750: loss 0.2785, time 599.16ms, mfu 28.44%
iter 136800: loss 0.2826, time 602.35ms, mfu 28.49%
iter 136850: loss 0.2826, time 602.92ms, mfu 28.53%
iter 136900: loss 0.2836, time 605.70ms, mfu 28.55%
iter 136950: loss 0.2748, time 599.83ms, mfu 28.61%
iter 137000: loss 0.2766, time 600.32ms, mfu 28.65%
iter 137050: loss 0.2910, time 601.50ms, mfu 28.68%
iter 137100: loss 0.2805, time 601.10ms, mfu 28.71%
iter 137150: loss 0.2963, time 600.51ms, mfu 28.74%
iter 137200: loss 0.2896, time 600.65ms, mfu 28.77%
iter 137250: loss 0.2938, time 600.65ms, mfu 28.80%
iter 137300: loss 0.2758, time 599.71ms, mfu 28.82%
iter 137350: loss 0.2920, time 599.34ms, mfu 28.85%
iter 137400: loss 0.2877, time 600.33ms, mfu 28.87%
iter 137450: loss 0.2808, time 599.01ms, mfu 28.89%
iter 137500: loss 0.2804, time 601.52ms, mfu 28.90%
iter 137550: loss 0.2857, time 600.33ms, mfu 28.91%
iter 137600: loss 0.2951, time 602.90ms, mfu 28.91%
iter 137650: loss 0.2923, time 602.76ms, mfu 28.91%
iter 137700: loss 0.2812, time 600.53ms, mfu 28.92%
iter 137750: loss 0.2814, time 604.01ms, mfu 28.92%
iter 137800: loss 0.2834, time 607.85ms, mfu 28.89%
iter 137850: loss 0.2847, time 600.51ms, mfu 28.91%
iter 137900: loss 0.2803, time 599.79ms, mfu 28.92%
iter 137950: loss 0.2879, time 602.16ms, mfu 28.92%
iter 138000: loss 0.2812, time 601.18ms, mfu 28.93%
iter 138050: loss 0.2871, time 599.34ms, mfu 28.95%
iter 138100: loss 0.2887, time 602.52ms, mfu 28.94%
iter 138150: loss 0.2835, time 601.88ms, mfu 28.95%
iter 138200: loss 0.2845, time 595.88ms, mfu 28.98%
iter 138250: loss 0.2779, time 598.81ms, mfu 28.99%
iter 138300: loss 0.2900, time 599.83ms, mfu 29.00%
iter 138350: loss 0.2921, time 601.92ms, mfu 28.99%
iter 138400: loss 0.2772, time 600.96ms, mfu 28.99%
iter 138450: loss 0.2869, time 600.37ms, mfu 29.00%
iter 138500: loss 0.2824, time 601.05ms, mfu 29.00%
iter 138550: loss 0.2867, time 601.98ms, mfu 28.99%
iter 138600: loss 0.2881, time 600.09ms, mfu 29.00%
iter 138650: loss 0.2791, time 600.31ms, mfu 29.00%
iter 138700: loss 0.2800, time 600.68ms, mfu 29.00%
iter 138750: loss 0.2982, time 600.67ms, mfu 29.01%
iter 138800: loss 0.2887, time 602.64ms, mfu 29.00%
iter 138850: loss 0.2908, time 600.18ms, mfu 29.00%
iter 138900: loss 0.2795, time 600.79ms, mfu 29.00%
iter 138950: loss 0.2875, time 599.88ms, mfu 29.01%
iter 139000: loss 0.2896, time 600.26ms, mfu 29.01%
iter 139050: loss 0.2753, time 598.23ms, mfu 29.02%
iter 139100: loss 0.2836, time 603.73ms, mfu 29.01%
iter 139150: loss 0.2799, time 600.05ms, mfu 29.01%
iter 139200: loss 0.2740, time 602.17ms, mfu 29.01%
iter 139250: loss 0.2876, time 603.89ms, mfu 28.99%
iter 139300: loss 0.2814, time 600.13ms, mfu 29.00%
iter 139350: loss 0.2836, time 601.86ms, mfu 28.99%
iter 139400: loss 0.2849, time 601.39ms, mfu 28.99%
iter 139450: loss 0.2912, time 602.75ms, mfu 28.98%
iter 139500: loss 0.2925, time 599.82ms, mfu 28.99%
iter 139550: loss 0.2911, time 600.97ms, mfu 28.99%
iter 139600: loss 0.2868, time 600.21ms, mfu 29.00%
iter 139650: loss 0.2805, time 600.43ms, mfu 29.00%
iter 139700: loss 0.2779, time 601.96ms, mfu 29.00%
iter 139750: loss 0.2820, time 602.13ms, mfu 28.99%
iter 139800: loss 0.2817, time 600.79ms, mfu 28.99%
iter 139850: loss 0.2775, time 600.08ms, mfu 29.00%
iter 139900: loss 0.2771, time 601.59ms, mfu 29.00%
iter 139950: loss 0.2763, time 602.26ms, mfu 28.99%
step 140000: train loss 0.2823, val loss 0.2857
saving checkpoint to out-stockfish-xl
iter 140000: loss 0.2799, time 21129.14ms, mfu 26.17%
iter 140050: loss 0.2797, time 598.31ms, mfu 26.47%
iter 140100: loss 0.2871, time 601.07ms, mfu 26.72%
iter 140150: loss 0.2799, time 600.66ms, mfu 26.95%
iter 140200: loss 0.2874, time 602.89ms, mfu 27.15%
iter 140250: loss 0.2893, time 601.27ms, mfu 27.33%
iter 140300: loss 0.2807, time 602.30ms, mfu 27.49%
iter 140350: loss 0.2817, time 601.21ms, mfu 27.64%
iter 140400: loss 0.2841, time 603.43ms, mfu 27.77%
iter 140450: loss 0.2907, time 602.54ms, mfu 27.88%
iter 140500: loss 0.2834, time 598.65ms, mfu 28.01%
iter 140550: loss 0.2909, time 599.74ms, mfu 28.11%
iter 140600: loss 0.2707, time 601.11ms, mfu 28.20%
iter 140650: loss 0.2879, time 601.50ms, mfu 28.28%
iter 140700: loss 0.2881, time 601.56ms, mfu 28.35%
iter 140750: loss 0.2914, time 603.10ms, mfu 28.40%
iter 140800: loss 0.2837, time 601.83ms, mfu 28.46%
iter 140850: loss 0.2843, time 598.82ms, mfu 28.52%
iter 140900: loss 0.2813, time 602.84ms, mfu 28.56%
iter 140950: loss 0.2903, time 600.30ms, mfu 28.61%
iter 141000: loss 0.2871, time 599.50ms, mfu 28.66%
iter 141050: loss 0.2839, time 600.55ms, mfu 28.69%
iter 141100: loss 0.2828, time 601.15ms, mfu 28.72%
iter 141150: loss 0.2819, time 601.03ms, mfu 28.75%
iter 141200: loss 0.2842, time 602.02ms, mfu 28.77%
iter 141250: loss 0.2847, time 600.15ms, mfu 28.80%
iter 141300: loss 0.2795, time 603.02ms, mfu 28.81%
iter 141350: loss 0.2823, time 600.64ms, mfu 28.83%
iter 141400: loss 0.2707, time 600.55ms, mfu 28.85%
iter 141450: loss 0.2791, time 600.75ms, mfu 28.87%
iter 141500: loss 0.2777, time 602.63ms, mfu 28.87%
iter 141550: loss 0.2875, time 601.62ms, mfu 28.88%
iter 141600: loss 0.2771, time 599.29ms, mfu 28.90%
iter 141650: loss 0.2794, time 604.66ms, mfu 28.89%
iter 141700: loss 0.2769, time 600.91ms, mfu 28.91%
iter 141750: loss 0.2892, time 601.39ms, mfu 28.91%
iter 141800: loss 0.2855, time 602.74ms, mfu 28.91%
iter 141850: loss 0.2907, time 602.09ms, mfu 28.92%
iter 141900: loss 0.2780, time 598.53ms, mfu 28.94%
iter 141950: loss 0.2878, time 599.15ms, mfu 28.95%
iter 142000: loss 0.2797, time 604.84ms, mfu 28.94%
iter 142050: loss 0.2811, time 600.80ms, mfu 28.95%
iter 142100: loss 0.2740, time 602.85ms, mfu 28.94%
iter 142150: loss 0.2850, time 600.07ms, mfu 28.95%
iter 142200: loss 0.2772, time 600.95ms, mfu 28.96%
iter 142250: loss 0.2854, time 600.87ms, mfu 28.96%
iter 142300: loss 0.2813, time 600.25ms, mfu 28.97%
iter 142350: loss 0.2820, time 607.30ms, mfu 28.94%
iter 142400: loss 0.2805, time 601.39ms, mfu 28.95%
iter 142450: loss 0.2842, time 600.81ms, mfu 28.95%
iter 142500: loss 0.2735, time 600.83ms, mfu 28.96%
iter 142550: loss 0.2735, time 600.96ms, mfu 28.96%
iter 142600: loss 0.2839, time 600.81ms, mfu 28.97%
iter 142650: loss 0.2772, time 600.88ms, mfu 28.97%
iter 142700: loss 0.2823, time 600.90ms, mfu 28.98%
