step 352000: train loss 0.3088, val loss 0.3101
saving checkpoint to out-stockfish-8layer
iter 352000: loss 0.3113, time 6053.26ms, mfu -100.00%
iter 352050: loss 0.3073, time 229.21ms, mfu 27.66%
iter 352100: loss 0.3061, time 229.22ms, mfu 27.66%
iter 352150: loss 0.3140, time 229.68ms, mfu 27.66%
iter 352200: loss 0.3110, time 228.97ms, mfu 27.66%
iter 352250: loss 0.3082, time 229.53ms, mfu 27.66%
iter 352300: loss 0.3100, time 230.17ms, mfu 27.64%
iter 352350: loss 0.3012, time 230.19ms, mfu 27.63%
iter 352400: loss 0.3024, time 229.75ms, mfu 27.63%
iter 352450: loss 0.3176, time 230.31ms, mfu 27.62%
iter 352500: loss 0.3106, time 230.88ms, mfu 27.60%
iter 352550: loss 0.3042, time 228.64ms, mfu 27.62%
iter 352600: loss 0.3123, time 229.18ms, mfu 27.62%
iter 352650: loss 0.3116, time 229.66ms, mfu 27.62%
iter 352700: loss 0.3104, time 229.66ms, mfu 27.62%
iter 352750: loss 0.3076, time 230.86ms, mfu 27.60%
iter 352800: loss 0.3082, time 229.41ms, mfu 27.61%
iter 352850: loss 0.3115, time 230.90ms, mfu 27.59%
iter 352900: loss 0.3097, time 231.44ms, mfu 27.57%
iter 352950: loss 0.3046, time 228.83ms, mfu 27.59%
iter 353000: loss 0.3075, time 229.39ms, mfu 27.59%
iter 353050: loss 0.3151, time 228.94ms, mfu 27.60%
iter 353100: loss 0.3103, time 229.56ms, mfu 27.60%
iter 353150: loss 0.3082, time 229.62ms, mfu 27.60%
iter 353200: loss 0.3031, time 229.97ms, mfu 27.60%
iter 353250: loss 0.3123, time 231.49ms, mfu 27.58%
iter 353300: loss 0.3147, time 231.04ms, mfu 27.57%
iter 353350: loss 0.3139, time 234.11ms, mfu 27.52%
iter 353400: loss 0.3185, time 231.01ms, mfu 27.51%
iter 353450: loss 0.3088, time 231.64ms, mfu 27.50%
iter 353500: loss 0.3061, time 234.40ms, mfu 27.45%
iter 353550: loss 0.3121, time 230.89ms, mfu 27.45%
iter 353600: loss 0.3032, time 231.54ms, mfu 27.45%
iter 353650: loss 0.3141, time 237.17ms, mfu 27.37%
iter 353700: loss 0.3066, time 238.79ms, mfu 27.29%
iter 353750: loss 0.3091, time 231.11ms, mfu 27.31%
iter 353800: loss 0.3105, time 231.39ms, mfu 27.32%
iter 353850: loss 0.3011, time 231.01ms, mfu 27.33%
iter 353900: loss 0.3109, time 230.71ms, mfu 27.34%
iter 353950: loss 0.3159, time 232.60ms, mfu 27.34%
iter 354000: loss 0.3064, time 240.14ms, mfu 27.24%
iter 354050: loss 0.3188, time 238.21ms, mfu 27.18%
iter 354100: loss 0.2975, time 230.83ms, mfu 27.21%
iter 354150: loss 0.3049, time 235.62ms, mfu 27.18%
iter 354200: loss 0.3049, time 231.18ms, mfu 27.20%
iter 354250: loss 0.3097, time 232.15ms, mfu 27.21%
iter 354300: loss 0.3128, time 230.64ms, mfu 27.24%
iter 354350: loss 0.3078, time 231.42ms, mfu 27.26%
iter 354400: loss 0.3074, time 232.13ms, mfu 27.26%
iter 354450: loss 0.2994, time 235.51ms, mfu 27.23%
iter 354500: loss 0.3104, time 233.17ms, mfu 27.23%
iter 354550: loss 0.3094, time 231.77ms, mfu 27.24%
iter 354600: loss 0.3108, time 232.12ms, mfu 27.25%
iter 354650: loss 0.3100, time 232.13ms, mfu 27.25%
iter 354700: loss 0.3093, time 234.74ms, mfu 27.23%
iter 354750: loss 0.3046, time 231.14ms, mfu 27.25%
iter 354800: loss 0.3045, time 231.84ms, mfu 27.26%
iter 354850: loss 0.3120, time 231.30ms, mfu 27.27%
iter 354900: loss 0.3119, time 231.39ms, mfu 27.29%
iter 354950: loss 0.3031, time 231.88ms, mfu 27.29%
iter 355000: loss 0.3168, time 231.33ms, mfu 27.30%
iter 355050: loss 0.3011, time 232.21ms, mfu 27.30%
iter 355100: loss 0.3070, time 232.04ms, mfu 27.31%
iter 355150: loss 0.3025, time 233.44ms, mfu 27.29%
iter 355200: loss 0.3068, time 233.33ms, mfu 27.28%
iter 355250: loss 0.3003, time 231.25ms, mfu 27.29%
iter 355300: loss 0.3062, time 230.90ms, mfu 27.31%
iter 355350: loss 0.3093, time 233.07ms, mfu 27.30%
iter 355400: loss 0.3164, time 231.17ms, mfu 27.31%
iter 355450: loss 0.3046, time 234.59ms, mfu 27.28%
iter 355500: loss 0.3135, time 231.18ms, mfu 27.30%
iter 355550: loss 0.3122, time 235.37ms, mfu 27.26%
iter 355600: loss 0.3096, time 234.35ms, mfu 27.24%
iter 355650: loss 0.3049, time 231.92ms, mfu 27.25%
iter 355700: loss 0.3007, time 233.03ms, mfu 27.25%
iter 355750: loss 0.3020, time 231.53ms, mfu 27.26%
iter 355800: loss 0.3133, time 231.16ms, mfu 27.28%
iter 355850: loss 0.3147, time 235.08ms, mfu 27.25%
iter 355900: loss 0.3083, time 232.90ms, mfu 27.24%
iter 355950: loss 0.3103, time 230.91ms, mfu 27.27%
step 356000: train loss 0.3069, val loss 0.3093
saving checkpoint to out-stockfish-8layer
iter 356000: loss 0.2975, time 5804.79ms, mfu 24.65%
iter 356050: loss 0.3084, time 232.68ms, mfu 24.91%
iter 356100: loss 0.3190, time 230.92ms, mfu 25.16%
iter 356150: loss 0.3075, time 230.99ms, mfu 25.39%
iter 356200: loss 0.3079, time 236.44ms, mfu 25.53%
iter 356250: loss 0.3029, time 233.01ms, mfu 25.70%
iter 356300: loss 0.3118, time 235.42ms, mfu 25.82%
iter 356350: loss 0.2944, time 241.36ms, mfu 25.87%
iter 356400: loss 0.3114, time 231.11ms, mfu 26.03%
iter 356450: loss 0.3082, time 233.17ms, mfu 26.14%
iter 356500: loss 0.3027, time 234.21ms, mfu 26.24%
