step 184000: train loss 0.2956, val loss 0.2975
saving checkpoint to out-stockfish-16layer
iter 184000: loss 0.3013, time 10975.00ms, mfu -100.00%
iter 184050: loss 0.3065, time 451.91ms, mfu 28.05%
iter 184100: loss 0.2872, time 450.86ms, mfu 28.06%
iter 184150: loss 0.2961, time 451.23ms, mfu 28.06%
iter 184200: loss 0.2947, time 451.17ms, mfu 28.07%
iter 184250: loss 0.2982, time 451.60ms, mfu 28.07%
iter 184300: loss 0.2925, time 450.86ms, mfu 28.07%
iter 184350: loss 0.2980, time 450.75ms, mfu 28.08%
iter 184400: loss 0.2959, time 450.82ms, mfu 28.08%
iter 184450: loss 0.2911, time 451.48ms, mfu 28.08%
iter 184500: loss 0.2970, time 450.87ms, mfu 28.09%
iter 184550: loss 0.2924, time 450.57ms, mfu 28.09%
iter 184600: loss 0.2893, time 450.25ms, mfu 28.10%
iter 184650: loss 0.3020, time 450.97ms, mfu 28.10%
iter 184700: loss 0.2961, time 450.93ms, mfu 28.10%
iter 184750: loss 0.2932, time 450.42ms, mfu 28.10%
iter 184800: loss 0.2966, time 451.34ms, mfu 28.10%
iter 184850: loss 0.2952, time 451.87ms, mfu 28.10%
iter 184900: loss 0.2941, time 450.74ms, mfu 28.10%
iter 184950: loss 0.2911, time 451.17ms, mfu 28.10%
iter 185000: loss 0.2918, time 450.70ms, mfu 28.10%
iter 185050: loss 0.2974, time 451.09ms, mfu 28.10%
iter 185100: loss 0.2877, time 450.69ms, mfu 28.11%
iter 185150: loss 0.2974, time 450.41ms, mfu 28.11%
iter 185200: loss 0.3040, time 450.86ms, mfu 28.11%
iter 185250: loss 0.2930, time 450.74ms, mfu 28.11%
iter 185300: loss 0.2873, time 450.89ms, mfu 28.11%
iter 185350: loss 0.2913, time 450.82ms, mfu 28.11%
iter 185400: loss 0.2929, time 454.65ms, mfu 28.09%
iter 185450: loss 0.2923, time 451.13ms, mfu 28.09%
iter 185500: loss 0.2913, time 450.74ms, mfu 28.10%
iter 185550: loss 0.3022, time 450.69ms, mfu 28.10%
iter 185600: loss 0.3054, time 450.50ms, mfu 28.10%
iter 185650: loss 0.2902, time 450.97ms, mfu 28.10%
iter 185700: loss 0.2920, time 450.12ms, mfu 28.11%
iter 185750: loss 0.2929, time 451.61ms, mfu 28.11%
iter 185800: loss 0.3036, time 450.34ms, mfu 28.11%
iter 185850: loss 0.2989, time 450.22ms, mfu 28.12%
iter 185900: loss 0.2981, time 451.41ms, mfu 28.11%
iter 185950: loss 0.2991, time 451.30ms, mfu 28.11%
iter 186000: loss 0.2971, time 450.50ms, mfu 28.11%
iter 186050: loss 0.2969, time 454.46ms, mfu 28.09%
iter 186100: loss 0.2978, time 454.44ms, mfu 28.07%
iter 186150: loss 0.2946, time 450.67ms, mfu 28.08%
iter 186200: loss 0.2937, time 453.00ms, mfu 28.07%
iter 186250: loss 0.2911, time 450.57ms, mfu 28.08%
iter 186300: loss 0.2943, time 450.96ms, mfu 28.08%
iter 186350: loss 0.2905, time 452.12ms, mfu 28.08%
