step 0: train loss 3.6766, val loss 3.6775
iter 0: loss 3.6843, time 14274.85ms, mfu -100.00%
iter 50: loss 2.0080, time 817.54ms, mfu 31.98%
iter 100: loss 1.8045, time 820.32ms, mfu 31.97%
iter 150: loss 1.7138, time 819.64ms, mfu 31.96%
iter 200: loss 1.6284, time 816.50ms, mfu 31.97%
iter 250: loss 1.6091, time 819.04ms, mfu 31.97%
iter 300: loss 1.5175, time 819.28ms, mfu 31.96%
iter 350: loss 1.4623, time 816.64ms, mfu 31.97%
iter 400: loss 1.3745, time 817.84ms, mfu 31.97%
iter 450: loss 1.2588, time 817.44ms, mfu 31.97%
iter 500: loss 1.2276, time 819.00ms, mfu 31.96%
iter 550: loss 1.1781, time 820.79ms, mfu 31.95%
iter 600: loss 1.1406, time 817.14ms, mfu 31.96%
iter 650: loss 1.0646, time 818.01ms, mfu 31.96%
iter 700: loss 1.0146, time 819.93ms, mfu 31.95%
iter 750: loss 0.9490, time 818.71ms, mfu 31.95%
iter 800: loss 0.9295, time 816.84ms, mfu 31.96%
iter 850: loss 0.8686, time 817.74ms, mfu 31.96%
iter 900: loss 0.8236, time 818.66ms, mfu 31.96%
iter 950: loss 0.7700, time 816.63ms, mfu 31.96%
iter 1000: loss 0.7370, time 818.88ms, mfu 31.96%
iter 1050: loss 0.7217, time 817.35ms, mfu 31.96%
iter 1100: loss 0.6838, time 820.58ms, mfu 31.95%
iter 1150: loss 0.6716, time 817.56ms, mfu 31.96%
iter 1200: loss 0.6534, time 821.40ms, mfu 31.94%
iter 1250: loss 0.7041, time 818.45ms, mfu 31.94%
iter 1300: loss 0.6147, time 819.69ms, mfu 31.94%
iter 1350: loss 0.6196, time 819.60ms, mfu 31.94%
iter 1400: loss 0.6041, time 822.17ms, mfu 31.92%
iter 1450: loss 0.6011, time 819.53ms, mfu 31.92%
iter 1500: loss 0.5816, time 819.16ms, mfu 31.92%
iter 1550: loss 0.5675, time 817.38ms, mfu 31.93%
iter 1600: loss 0.5704, time 820.60ms, mfu 31.92%
iter 1650: loss 0.5559, time 819.02ms, mfu 31.92%
iter 1700: loss 0.5593, time 819.67ms, mfu 31.92%
iter 1750: loss 0.5501, time 820.12ms, mfu 31.92%
iter 1800: loss 0.5462, time 817.38ms, mfu 31.92%
iter 1850: loss 0.5567, time 820.73ms, mfu 31.92%
iter 1900: loss 0.5373, time 817.77ms, mfu 31.92%
iter 1950: loss 0.5306, time 817.20ms, mfu 31.93%
iter 2000: loss 0.5235, time 819.10ms, mfu 31.93%
iter 2050: loss 0.5212, time 817.12ms, mfu 31.94%
iter 2100: loss 0.5141, time 816.92ms, mfu 31.94%
iter 2150: loss 0.5047, time 818.78ms, mfu 31.94%
iter 2200: loss 0.5096, time 820.11ms, mfu 31.94%
