step 376000: train loss 0.3068, val loss 0.3083
saving checkpoint to out-stockfish-small-8
iter 376000: loss 0.2897, time 5974.26ms, mfu -100.00%
iter 376050: loss 0.2952, time 304.42ms, mfu 27.77%
iter 376100: loss 0.3006, time 303.53ms, mfu 27.78%
iter 376150: loss 0.3063, time 305.87ms, mfu 27.76%
iter 376200: loss 0.3014, time 303.88ms, mfu 27.77%
iter 376250: loss 0.3065, time 304.51ms, mfu 27.77%
iter 376300: loss 0.2974, time 304.43ms, mfu 27.77%
iter 376350: loss 0.3113, time 303.92ms, mfu 27.77%
iter 376400: loss 0.3063, time 303.94ms, mfu 27.78%
iter 376450: loss 0.3018, time 303.24ms, mfu 27.79%
iter 376500: loss 0.3001, time 304.14ms, mfu 27.79%
iter 376550: loss 0.3000, time 304.30ms, mfu 27.79%
