step 184000: train loss 0.2851, val loss 0.2867
saving checkpoint to out-stockfish-medium-12
iter 184000: loss 0.2865, time 15095.69ms, mfu -100.00%
iter 184050: loss 0.2918, time 812.19ms, mfu 32.19%
iter 184100: loss 0.2878, time 812.06ms, mfu 32.19%
iter 184150: loss 0.2766, time 812.26ms, mfu 32.19%
iter 184200: loss 0.2809, time 812.83ms, mfu 32.19%
iter 184250: loss 0.2807, time 812.45ms, mfu 32.19%
iter 184300: loss 0.2942, time 812.17ms, mfu 32.19%
iter 184350: loss 0.2806, time 811.20ms, mfu 32.19%
iter 184400: loss 0.2824, time 812.05ms, mfu 32.20%
iter 184450: loss 0.2869, time 813.25ms, mfu 32.19%
iter 184500: loss 0.2842, time 811.46ms, mfu 32.19%
iter 184550: loss 0.2845, time 811.48ms, mfu 32.20%
iter 184600: loss 0.2870, time 814.52ms, mfu 32.19%
iter 184650: loss 0.2805, time 811.82ms, mfu 32.19%
iter 184700: loss 0.2819, time 810.22ms, mfu 32.20%
iter 184750: loss 0.2857, time 810.79ms, mfu 32.20%
iter 184800: loss 0.2846, time 812.57ms, mfu 32.20%
iter 184850: loss 0.2773, time 811.22ms, mfu 32.20%
iter 184900: loss 0.2867, time 812.27ms, mfu 32.20%
iter 184950: loss 0.2820, time 811.71ms, mfu 32.20%
iter 185000: loss 0.2794, time 811.98ms, mfu 32.20%
iter 185050: loss 0.2903, time 812.64ms, mfu 32.20%
iter 185100: loss 0.2844, time 811.45ms, mfu 32.20%
iter 185150: loss 0.2856, time 812.70ms, mfu 32.20%
iter 185200: loss 0.2906, time 811.33ms, mfu 32.20%
iter 185250: loss 0.2838, time 812.51ms, mfu 32.20%
iter 185300: loss 0.2830, time 811.31ms, mfu 32.20%
iter 185350: loss 0.2908, time 811.34ms, mfu 32.21%
iter 185400: loss 0.2844, time 811.81ms, mfu 32.21%
iter 185450: loss 0.2822, time 811.74ms, mfu 32.21%
iter 185500: loss 0.2748, time 811.86ms, mfu 32.21%
iter 185550: loss 0.2782, time 812.57ms, mfu 32.20%
iter 185600: loss 0.2864, time 811.74ms, mfu 32.20%
iter 185650: loss 0.2795, time 811.20ms, mfu 32.21%
iter 185700: loss 0.2853, time 811.68ms, mfu 32.21%
iter 185750: loss 0.2839, time 813.50ms, mfu 32.20%
iter 185800: loss 0.2817, time 811.54ms, mfu 32.20%
iter 185850: loss 0.2822, time 811.41ms, mfu 32.20%
iter 185900: loss 0.2856, time 811.96ms, mfu 32.20%
iter 185950: loss 0.2835, time 811.30ms, mfu 32.21%
iter 186000: loss 0.2836, time 812.14ms, mfu 32.21%
iter 186050: loss 0.2933, time 810.94ms, mfu 32.21%
iter 186100: loss 0.2788, time 811.06ms, mfu 32.21%
iter 186150: loss 0.2845, time 810.85ms, mfu 32.22%
iter 186200: loss 0.3373, time 812.33ms, mfu 32.21%
iter 186250: loss 0.2794, time 811.80ms, mfu 32.21%
iter 186300: loss 0.2856, time 811.22ms, mfu 32.21%
iter 186350: loss 0.2883, time 811.57ms, mfu 32.21%
iter 186400: loss 0.2782, time 811.00ms, mfu 32.22%
iter 186450: loss 0.2851, time 813.58ms, mfu 32.21%
iter 186500: loss 0.2863, time 811.08ms, mfu 32.21%
iter 186550: loss 0.2825, time 812.25ms, mfu 32.21%
iter 186600: loss 0.2828, time 812.02ms, mfu 32.21%
iter 186650: loss 0.2896, time 811.67ms, mfu 32.21%
iter 186700: loss 0.2788, time 813.28ms, mfu 32.20%
iter 186750: loss 0.2868, time 812.01ms, mfu 32.20%
iter 186800: loss 0.2766, time 812.11ms, mfu 32.20%
iter 186850: loss 0.2759, time 812.14ms, mfu 32.20%
