step 376000: train loss 0.3068, val loss 0.3083
saving checkpoint to out-stockfish-small-8
iter 376000: loss 0.2897, time 11797.32ms, mfu -100.00%
iter 376050: loss 0.2954, time 659.86ms, mfu 12.81%
iter 376100: loss 0.3008, time 657.93ms, mfu 12.82%
iter 376150: loss 0.3062, time 656.74ms, mfu 12.82%
iter 376200: loss 0.3013, time 659.95ms, mfu 12.82%
iter 376250: loss 0.3065, time 652.32ms, mfu 12.83%
iter 376300: loss 0.2976, time 656.85ms, mfu 12.84%
iter 376350: loss 0.3115, time 660.06ms, mfu 12.83%
iter 376400: loss 0.3063, time 659.36ms, mfu 12.83%
iter 376450: loss 0.3021, time 658.99ms, mfu 12.83%
iter 376500: loss 0.3001, time 658.45ms, mfu 12.83%
iter 376550: loss 0.3001, time 658.61ms, mfu 12.83%
iter 376600: loss 0.2978, time 659.31ms, mfu 12.83%
iter 376650: loss 0.3052, time 660.07ms, mfu 12.83%
iter 376700: loss 0.3115, time 659.96ms, mfu 12.83%
iter 376750: loss 0.3056, time 659.05ms, mfu 12.83%
iter 376800: loss 0.3020, time 660.90ms, mfu 12.82%
iter 376850: loss 0.3024, time 654.60ms, mfu 12.83%
iter 376900: loss 0.3077, time 660.11ms, mfu 12.83%
iter 376950: loss 0.3037, time 660.21ms, mfu 12.83%
iter 377000: loss 0.3111, time 658.00ms, mfu 12.83%
iter 377050: loss 0.3035, time 661.44ms, mfu 12.82%
iter 377100: loss 0.2985, time 660.10ms, mfu 12.82%
iter 377150: loss 0.2959, time 657.06ms, mfu 12.83%
iter 377200: loss 0.3051, time 659.75ms, mfu 12.83%
iter 377250: loss 0.3048, time 659.93ms, mfu 12.82%
iter 377300: loss 0.3023, time 658.06ms, mfu 12.83%
iter 377350: loss 0.3030, time 655.67ms, mfu 12.83%
iter 377400: loss 0.2967, time 658.97ms, mfu 12.83%
iter 377450: loss 0.3190, time 658.37ms, mfu 12.83%
iter 377500: loss 0.3104, time 656.91ms, mfu 12.84%
iter 377550: loss 0.2929, time 658.09ms, mfu 12.84%
iter 377600: loss 0.3097, time 660.06ms, mfu 12.84%
iter 377650: loss 0.2987, time 656.26ms, mfu 12.84%
iter 377700: loss 0.3051, time 655.71ms, mfu 12.84%
iter 377750: loss 0.3055, time 657.27ms, mfu 12.85%
iter 377800: loss 0.3143, time 656.80ms, mfu 12.85%
iter 377850: loss 0.3023, time 658.98ms, mfu 12.85%
iter 377900: loss 0.3021, time 654.72ms, mfu 12.85%
iter 377950: loss 0.3078, time 659.22ms, mfu 12.85%
iter 378000: loss 0.3014, time 659.10ms, mfu 12.85%
iter 378050: loss 0.2980, time 660.40ms, mfu 12.84%
iter 378100: loss 0.3071, time 659.35ms, mfu 12.84%
iter 378150: loss 0.2971, time 662.75ms, mfu 12.83%
iter 378200: loss 0.3132, time 660.04ms, mfu 12.83%
iter 378250: loss 0.2977, time 659.80ms, mfu 12.83%
iter 378300: loss 0.2993, time 659.03ms, mfu 12.83%
iter 378350: loss 0.3117, time 657.86ms, mfu 12.83%
iter 378400: loss 0.3058, time 660.26ms, mfu 12.83%
iter 378450: loss 0.3003, time 657.19ms, mfu 12.83%
iter 378500: loss 0.3041, time 660.41ms, mfu 12.83%
iter 378550: loss 0.3047, time 661.37ms, mfu 12.82%
iter 378600: loss 0.3003, time 659.65ms, mfu 12.82%
iter 378650: loss 0.3090, time 661.52ms, mfu 12.82%
iter 378700: loss 0.3055, time 656.18ms, mfu 12.83%
iter 378750: loss 0.3049, time 657.92ms, mfu 12.83%
iter 378800: loss 0.3019, time 659.64ms, mfu 12.83%
iter 378850: loss 0.2978, time 660.43ms, mfu 12.82%
iter 378900: loss 0.2976, time 658.11ms, mfu 12.83%
iter 378950: loss 0.3077, time 657.09ms, mfu 12.83%
iter 379000: loss 0.3085, time 659.70ms, mfu 12.83%
iter 379050: loss 0.3091, time 656.88ms, mfu 12.83%
iter 379100: loss 0.3077, time 660.28ms, mfu 12.83%
iter 379150: loss 0.2981, time 656.97ms, mfu 12.83%
iter 379200: loss 0.3049, time 660.02ms, mfu 12.83%
iter 379250: loss 0.2989, time 661.68ms, mfu 12.83%
iter 379300: loss 0.2980, time 659.84ms, mfu 12.82%
iter 379350: loss 0.3026, time 656.95ms, mfu 12.83%
iter 379400: loss 0.3013, time 656.48ms, mfu 12.83%
iter 379450: loss 0.3013, time 659.37ms, mfu 12.83%
iter 379500: loss 0.3013, time 661.09ms, mfu 12.83%
iter 379550: loss 0.3147, time 657.17ms, mfu 12.83%
iter 379600: loss 0.3051, time 658.83ms, mfu 12.83%
iter 379650: loss 0.2989, time 660.64ms, mfu 12.83%
iter 379700: loss 0.3132, time 659.89ms, mfu 12.83%
iter 379750: loss 0.2982, time 662.20ms, mfu 12.82%
iter 379800: loss 0.3061, time 656.77ms, mfu 12.83%
iter 379850: loss 0.3034, time 657.29ms, mfu 12.83%
iter 379900: loss 0.3069, time 656.80ms, mfu 12.83%
iter 379950: loss 0.3056, time 657.47ms, mfu 12.84%
step 380000: train loss 0.3032, val loss 0.3050
saving checkpoint to out-stockfish-small-8
iter 380000: loss 0.3057, time 11436.59ms, mfu 11.63%
iter 380050: loss 0.3043, time 658.09ms, mfu 11.75%
iter 380100: loss 0.2954, time 657.38ms, mfu 11.86%
iter 380150: loss 0.3004, time 656.28ms, mfu 11.96%
iter 380200: loss 0.3081, time 659.03ms, mfu 12.05%
iter 380250: loss 0.2972, time 655.34ms, mfu 12.13%
iter 380300: loss 0.3078, time 659.34ms, mfu 12.20%
iter 380350: loss 0.3053, time 657.79ms, mfu 12.27%
iter 380400: loss 0.2960, time 661.71ms, mfu 12.32%
iter 380450: loss 0.3074, time 658.92ms, mfu 12.37%
iter 380500: loss 0.3049, time 659.92ms, mfu 12.41%
iter 380550: loss 0.2962, time 659.43ms, mfu 12.45%
iter 380600: loss 0.3080, time 655.08ms, mfu 12.50%
iter 380650: loss 0.3005, time 656.86ms, mfu 12.54%
iter 380700: loss 0.3034, time 655.23ms, mfu 12.57%
iter 380750: loss 0.3086, time 657.04ms, mfu 12.60%
iter 380800: loss 0.2988, time 656.32ms, mfu 12.63%
iter 380850: loss 0.3037, time 660.27ms, mfu 12.65%
iter 380900: loss 0.3006, time 662.21ms, mfu 12.66%
iter 380950: loss 0.2965, time 657.22ms, mfu 12.68%
iter 381000: loss 0.3017, time 658.15ms, mfu 12.70%
iter 381050: loss 0.3116, time 659.13ms, mfu 12.71%
iter 381100: loss 0.3042, time 655.97ms, mfu 12.73%
iter 381150: loss 0.3016, time 657.02ms, mfu 12.74%
iter 381200: loss 0.3012, time 662.43ms, mfu 12.74%
iter 381250: loss 0.3131, time 660.05ms, mfu 12.75%
iter 381300: loss 0.3031, time 654.24ms, mfu 12.77%
iter 381350: loss 0.3043, time 655.26ms, mfu 12.78%
iter 381400: loss 0.3037, time 659.28ms, mfu 12.78%
iter 381450: loss 0.2973, time 659.86ms, mfu 12.79%
iter 381500: loss 0.2939, time 659.91ms, mfu 12.79%
