step 0: train loss 3.6089, val loss 3.6095
iter 0: loss 3.6055, time 10945.34ms, mfu -100.00%
iter 50: loss 2.0218, time 1214.57ms, mfu 31.31%
iter 100: loss 1.8081, time 1214.51ms, mfu 31.31%
iter 150: loss 1.7254, time 1214.61ms, mfu 31.31%
iter 200: loss 1.6238, time 1212.30ms, mfu 31.31%
iter 250: loss 1.5897, time 1217.44ms, mfu 31.31%
iter 300: loss 1.5350, time 1215.83ms, mfu 31.30%
iter 350: loss 1.4889, time 1216.47ms, mfu 31.30%
iter 400: loss 1.4109, time 1215.87ms, mfu 31.30%
iter 450: loss 1.2862, time 1211.57ms, mfu 31.31%
iter 500: loss 1.2498, time 1215.91ms, mfu 31.30%
iter 550: loss 1.2251, time 1213.77ms, mfu 31.31%
iter 600: loss 1.1871, time 1212.07ms, mfu 31.31%
iter 650: loss 1.1721, time 1216.53ms, mfu 31.31%
iter 700: loss 1.1524, time 1216.79ms, mfu 31.30%
iter 750: loss 1.1937, time 1214.38ms, mfu 31.30%
iter 800: loss 1.0770, time 1215.32ms, mfu 31.30%
iter 850: loss 1.0546, time 1217.19ms, mfu 31.30%
iter 900: loss 0.9838, time 1216.77ms, mfu 31.29%
iter 950: loss 0.9345, time 1212.10ms, mfu 31.30%
iter 1000: loss 0.9114, time 1215.95ms, mfu 31.30%
iter 1050: loss 0.8743, time 1214.60ms, mfu 31.30%
iter 1100: loss 0.9111, time 1212.30ms, mfu 31.30%
iter 1150: loss 0.7852, time 1216.11ms, mfu 31.30%
iter 1200: loss 0.7737, time 1212.03ms, mfu 31.31%
iter 1250: loss 0.7379, time 1216.99ms, mfu 31.30%
iter 1300: loss 0.7121, time 1214.07ms, mfu 31.30%
iter 1350: loss 0.6929, time 1217.69ms, mfu 31.30%
iter 1400: loss 0.6848, time 1217.48ms, mfu 31.29%
iter 1450: loss 0.6492, time 1212.32ms, mfu 31.30%
iter 1500: loss 0.6656, time 1214.28ms, mfu 31.30%
iter 1550: loss 0.6520, time 1215.12ms, mfu 31.30%
iter 1600: loss 0.6412, time 1212.75ms, mfu 31.31%
iter 1650: loss 0.6247, time 1214.02ms, mfu 31.31%
iter 1700: loss 0.6091, time 1213.96ms, mfu 31.31%
iter 1750: loss 0.6137, time 1217.66ms, mfu 31.30%
iter 1800: loss 0.6035, time 1214.81ms, mfu 31.30%
iter 1850: loss 0.5970, time 1213.27ms, mfu 31.31%
iter 1900: loss 0.5876, time 1211.17ms, mfu 31.31%
iter 1950: loss 0.5526, time 1216.18ms, mfu 31.31%
iter 2000: loss 0.5649, time 1215.13ms, mfu 31.31%
iter 2050: loss 0.5535, time 1214.05ms, mfu 31.31%
iter 2100: loss 0.5490, time 1211.62ms, mfu 31.32%
iter 2150: loss 0.5511, time 1216.19ms, mfu 31.31%
iter 2200: loss 0.5424, time 1212.58ms, mfu 31.32%
iter 2250: loss 0.5491, time 1214.83ms, mfu 31.32%
iter 2300: loss 0.5176, time 1214.66ms, mfu 31.31%
iter 2350: loss 0.5065, time 1215.52ms, mfu 31.31%
iter 2400: loss 0.5037, time 1215.84ms, mfu 31.31%
iter 2450: loss 0.5078, time 1214.12ms, mfu 31.31%
iter 2500: loss 0.5149, time 1214.02ms, mfu 31.31%
iter 2550: loss 0.4988, time 1215.77ms, mfu 31.31%
iter 2600: loss 0.5033, time 1213.39ms, mfu 31.31%
iter 2650: loss 0.4815, time 1214.85ms, mfu 31.31%
iter 2700: loss 0.4882, time 1216.45ms, mfu 31.30%
iter 2750: loss 0.4623, time 1213.75ms, mfu 31.31%
iter 2800: loss 0.4956, time 1213.99ms, mfu 31.31%
iter 2850: loss 0.4933, time 1216.45ms, mfu 31.30%
iter 2900: loss 0.4869, time 1212.28ms, mfu 31.31%
iter 2950: loss 0.4575, time 1217.55ms, mfu 31.30%
iter 3000: loss 0.4752, time 1213.99ms, mfu 31.30%
iter 3050: loss 0.4504, time 1215.60ms, mfu 31.30%
iter 3100: loss 0.4939, time 1215.83ms, mfu 31.30%
