step 0: train loss 3.7219, val loss 3.7229
iter 0: loss 3.7409, time 16171.41ms, mfu -100.00%
iter 50: loss 2.0208, time 2151.10ms, mfu 27.50%
iter 100: loss 1.8339, time 2151.78ms, mfu 27.50%
iter 150: loss 1.7076, time 2148.83ms, mfu 27.50%
iter 200: loss 1.6326, time 2149.39ms, mfu 27.50%
iter 250: loss 1.5800, time 2146.72ms, mfu 27.51%
iter 300: loss 1.4650, time 2148.52ms, mfu 27.51%
iter 350: loss 1.3219, time 2148.01ms, mfu 27.51%
iter 400: loss 1.2170, time 2150.07ms, mfu 27.51%
iter 450: loss 1.1360, time 2148.26ms, mfu 27.52%
iter 500: loss 1.0547, time 2151.51ms, mfu 27.51%
iter 550: loss 1.0000, time 2149.14ms, mfu 27.52%
iter 600: loss 0.9685, time 2147.45ms, mfu 27.52%
iter 650: loss 0.9209, time 2149.48ms, mfu 27.52%
iter 700: loss 0.8849, time 2149.40ms, mfu 27.52%
iter 750: loss 0.8493, time 2148.84ms, mfu 27.52%
iter 800: loss 0.8565, time 2148.21ms, mfu 27.52%
iter 850: loss 0.7620, time 2149.24ms, mfu 27.52%
iter 900: loss 0.7286, time 2148.75ms, mfu 27.52%
iter 950: loss 0.7066, time 2150.51ms, mfu 27.52%
iter 1000: loss 0.7079, time 2148.77ms, mfu 27.52%
iter 1050: loss 0.6743, time 2152.71ms, mfu 27.52%
iter 1100: loss 0.6520, time 2149.50ms, mfu 27.52%
iter 1150: loss 0.6286, time 2149.28ms, mfu 27.52%
iter 1200: loss 0.6390, time 2149.33ms, mfu 27.52%
iter 1250: loss 0.6066, time 2150.79ms, mfu 27.52%
iter 1300: loss 0.5938, time 2150.61ms, mfu 27.52%
iter 1350: loss 0.6014, time 2152.31ms, mfu 27.51%
iter 1400: loss 0.5957, time 2148.57ms, mfu 27.52%
iter 1450: loss 0.5741, time 2149.16ms, mfu 27.52%
iter 1500: loss 0.5688, time 2148.88ms, mfu 27.52%
iter 1550: loss 0.5660, time 2149.24ms, mfu 27.52%
iter 1600: loss 0.5807, time 2148.86ms, mfu 27.52%
iter 1650: loss 0.5540, time 2150.74ms, mfu 27.52%
iter 1700: loss 0.5396, time 2149.00ms, mfu 27.52%
iter 1750: loss 0.5266, time 2150.03ms, mfu 27.52%
iter 1800: loss 0.5310, time 2148.40ms, mfu 27.52%
iter 1850: loss 0.5243, time 2150.43ms, mfu 27.52%
iter 1900: loss 0.5599, time 2149.08ms, mfu 27.52%
iter 1950: loss 0.5203, time 2148.42ms, mfu 27.52%
iter 2000: loss 0.5438, time 2149.74ms, mfu 27.52%
iter 2050: loss 0.5136, time 2149.32ms, mfu 27.52%
iter 2100: loss 0.5164, time 2151.06ms, mfu 27.52%
iter 2150: loss 0.4956, time 2150.57ms, mfu 27.52%
iter 2200: loss 0.5066, time 2149.70ms, mfu 27.52%
iter 2250: loss 0.5074, time 2149.57ms, mfu 27.52%
iter 2300: loss 0.5114, time 2148.53ms, mfu 27.52%
iter 2350: loss 0.4871, time 2149.82ms, mfu 27.52%
iter 2400: loss 0.4723, time 2148.31ms, mfu 27.52%
iter 2450: loss 0.5067, time 2149.48ms, mfu 27.52%
iter 2500: loss 0.4742, time 2148.34ms, mfu 27.52%
iter 2550: loss 0.4643, time 2149.52ms, mfu 27.52%
iter 2600: loss 0.4843, time 2149.41ms, mfu 27.52%
iter 2650: loss 0.4964, time 2149.25ms, mfu 27.52%
iter 2700: loss 0.4652, time 2148.03ms, mfu 27.52%
iter 2750: loss 0.4681, time 2148.03ms, mfu 27.53%
iter 2800: loss 0.4600, time 2150.83ms, mfu 27.52%
iter 2850: loss 0.4848, time 2150.73ms, mfu 27.52%
iter 2900: loss 0.4710, time 2149.54ms, mfu 27.52%
iter 2950: loss 0.4779, time 2149.93ms, mfu 27.52%
iter 3000: loss 0.4531, time 2149.34ms, mfu 27.52%
iter 3050: loss 0.4551, time 2150.02ms, mfu 27.52%
iter 3100: loss 0.4655, time 2151.25ms, mfu 27.52%
iter 3150: loss 0.4618, time 2148.59ms, mfu 27.52%
iter 3200: loss 0.4562, time 2149.19ms, mfu 27.52%
iter 3250: loss 0.4604, time 2150.40ms, mfu 27.52%
iter 3300: loss 0.4505, time 2148.82ms, mfu 27.52%
iter 3350: loss 0.4587, time 2148.26ms, mfu 27.52%
iter 3400: loss 0.4643, time 2148.94ms, mfu 27.52%
iter 3450: loss 0.4412, time 2148.18ms, mfu 27.52%
iter 3500: loss 0.4472, time 2150.40ms, mfu 27.52%
iter 3550: loss 0.4530, time 2149.15ms, mfu 27.52%
iter 3600: loss 0.4485, time 2149.21ms, mfu 27.52%
iter 3650: loss 0.4352, time 2147.58ms, mfu 27.52%
iter 3700: loss 0.4348, time 2149.16ms, mfu 27.52%
iter 3750: loss 0.4266, time 2147.91ms, mfu 27.53%
iter 3800: loss 0.4355, time 2151.83ms, mfu 27.52%
iter 3850: loss 0.4524, time 2150.04ms, mfu 27.52%
iter 3900: loss 0.4439, time 2148.24ms, mfu 27.52%
iter 3950: loss 0.4426, time 2147.49ms, mfu 27.53%
step 4000: train loss 0.4231, val loss 0.4234
saving checkpoint to out-stockfish-large-16-dropout
iter 4000: loss 0.4466, time 17475.41ms, mfu 25.11%
iter 4050: loss 0.4268, time 2149.93ms, mfu 25.35%
iter 4100: loss 0.4325, time 2147.96ms, mfu 25.57%
iter 4150: loss 0.4246, time 2148.95ms, mfu 25.77%
iter 4200: loss 0.4425, time 2148.79ms, mfu 25.94%
iter 4250: loss 0.4233, time 2149.08ms, mfu 26.10%
iter 4300: loss 0.4236, time 2149.04ms, mfu 26.24%
iter 4350: loss 0.4315, time 2150.85ms, mfu 26.37%
iter 4400: loss 0.4325, time 2149.71ms, mfu 26.48%
iter 4450: loss 0.4315, time 2149.05ms, mfu 26.59%
iter 4500: loss 0.4153, time 2149.33ms, mfu 26.68%
iter 4550: loss 0.4420, time 2150.50ms, mfu 26.76%
iter 4600: loss 0.4206, time 2148.73ms, mfu 26.84%
iter 4650: loss 0.4231, time 2149.72ms, mfu 26.91%
iter 4700: loss 0.4318, time 2149.33ms, mfu 26.97%
iter 4750: loss 0.4354, time 2148.45ms, mfu 27.03%
iter 4800: loss 0.4216, time 2152.00ms, mfu 27.07%
iter 4850: loss 0.4206, time 2148.29ms, mfu 27.12%
iter 4900: loss 0.4217, time 2148.44ms, mfu 27.16%
iter 4950: loss 0.4144, time 2147.02ms, mfu 27.20%
iter 5000: loss 0.4256, time 2147.53ms, mfu 27.23%
iter 5050: loss 0.4173, time 2148.37ms, mfu 27.26%
iter 5100: loss 0.4094, time 2149.55ms, mfu 27.29%
iter 5150: loss 0.4057, time 2147.38ms, mfu 27.32%
iter 5200: loss 0.4105, time 2148.46ms, mfu 27.34%
iter 5250: loss 0.4191, time 2150.86ms, mfu 27.35%
iter 5300: loss 0.4124, time 2153.72ms, mfu 27.37%
iter 5350: loss 0.3961, time 2149.89ms, mfu 27.38%
iter 5400: loss 0.4054, time 2147.19ms, mfu 27.40%
iter 5450: loss 0.4130, time 2147.97ms, mfu 27.41%
iter 5500: loss 0.4193, time 2149.88ms, mfu 27.42%
iter 5550: loss 0.4157, time 2150.06ms, mfu 27.43%
iter 5600: loss 0.4108, time 2148.56ms, mfu 27.44%
iter 5650: loss 0.4272, time 2148.69ms, mfu 27.45%
iter 5700: loss 0.4054, time 2148.23ms, mfu 27.46%
iter 5750: loss 0.3984, time 2148.75ms, mfu 27.47%
iter 5800: loss 0.4004, time 2149.86ms, mfu 27.47%
iter 5850: loss 0.4066, time 2150.35ms, mfu 27.47%
iter 5900: loss 0.4203, time 2148.14ms, mfu 27.48%
iter 5950: loss 0.3938, time 2149.28ms, mfu 27.49%
iter 6000: loss 0.4147, time 2150.15ms, mfu 27.49%
iter 6050: loss 0.3968, time 2149.26ms, mfu 27.49%
iter 6100: loss 0.3987, time 2149.80ms, mfu 27.49%
iter 6150: loss 0.3943, time 2148.83ms, mfu 27.50%
iter 6200: loss 0.4099, time 2148.41ms, mfu 27.50%
iter 6250: loss 0.4088, time 2147.86ms, mfu 27.51%
iter 6300: loss 0.3941, time 2149.51ms, mfu 27.51%
iter 6350: loss 0.4141, time 2150.60ms, mfu 27.51%
iter 6400: loss 0.4011, time 2149.60ms, mfu 27.51%
iter 6450: loss 0.4020, time 2149.67ms, mfu 27.51%
iter 6500: loss 0.4006, time 2149.34ms, mfu 27.51%
iter 6550: loss 0.4023, time 2148.77ms, mfu 27.51%
iter 6600: loss 0.3867, time 2147.03ms, mfu 27.52%
iter 6650: loss 0.3873, time 2148.87ms, mfu 27.52%
iter 6700: loss 0.3984, time 2148.53ms, mfu 27.52%
iter 6750: loss 0.3945, time 2149.92ms, mfu 27.52%
iter 6800: loss 0.4093, time 2149.24ms, mfu 27.52%
iter 6850: loss 0.3974, time 2149.51ms, mfu 27.52%
iter 6900: loss 0.3949, time 2152.63ms, mfu 27.52%
iter 6950: loss 0.3964, time 2148.51ms, mfu 27.52%
iter 7000: loss 0.3843, time 2149.80ms, mfu 27.52%
iter 7050: loss 0.3985, time 2148.64ms, mfu 27.52%
iter 7100: loss 0.3868, time 2151.10ms, mfu 27.52%
iter 7150: loss 0.3894, time 2150.14ms, mfu 27.52%
iter 7200: loss 0.4137, time 2149.86ms, mfu 27.52%
iter 7250: loss 0.3848, time 2150.69ms, mfu 27.52%
iter 7300: loss 0.4070, time 2150.38ms, mfu 27.51%
iter 7350: loss 0.3922, time 2149.12ms, mfu 27.52%
iter 7400: loss 0.4024, time 2150.53ms, mfu 27.51%
iter 7450: loss 0.3824, time 2149.35ms, mfu 27.52%
iter 7500: loss 0.3973, time 2151.85ms, mfu 27.51%
iter 7550: loss 0.3797, time 2149.21ms, mfu 27.51%
iter 7600: loss 0.3901, time 2151.41ms, mfu 27.51%
iter 7650: loss 0.4048, time 2149.38ms, mfu 27.51%
iter 7700: loss 0.3833, time 2149.85ms, mfu 27.51%
iter 7750: loss 0.3962, time 2149.43ms, mfu 27.51%
iter 7800: loss 0.3823, time 2147.87ms, mfu 27.52%
iter 7850: loss 0.3730, time 2149.65ms, mfu 27.52%
iter 7900: loss 0.3930, time 2148.06ms, mfu 27.52%
iter 7950: loss 0.3919, time 2150.07ms, mfu 27.52%
step 8000: train loss 0.3765, val loss 0.3768
saving checkpoint to out-stockfish-large-16-dropout
iter 8000: loss 0.3899, time 18240.96ms, mfu 25.09%
iter 8050: loss 0.3999, time 2149.42ms, mfu 25.33%
iter 8100: loss 0.3971, time 2149.19ms, mfu 25.55%
iter 8150: loss 0.3926, time 2148.68ms, mfu 25.75%
iter 8200: loss 0.3981, time 2148.05ms, mfu 25.93%
iter 8250: loss 0.3938, time 2149.55ms, mfu 26.09%
iter 8300: loss 0.3775, time 2148.26ms, mfu 26.23%
iter 8350: loss 0.3893, time 2149.27ms, mfu 26.36%
iter 8400: loss 0.3889, time 2150.86ms, mfu 26.48%
iter 8450: loss 0.3783, time 2148.88ms, mfu 26.58%
iter 8500: loss 0.3877, time 2149.47ms, mfu 26.68%
iter 8550: loss 0.3865, time 2149.09ms, mfu 26.76%
iter 8600: loss 0.3919, time 2147.39ms, mfu 26.84%
iter 8650: loss 0.3853, time 2148.38ms, mfu 26.91%
iter 8700: loss 0.3825, time 2150.57ms, mfu 26.97%
iter 8750: loss 0.3668, time 2150.62ms, mfu 27.02%
iter 8800: loss 0.3743, time 2150.62ms, mfu 27.07%
iter 8850: loss 0.3749, time 2150.10ms, mfu 27.11%
iter 8900: loss 0.3848, time 2147.85ms, mfu 27.16%
iter 8950: loss 0.3946, time 2149.86ms, mfu 27.19%
iter 9000: loss 0.3918, time 2148.15ms, mfu 27.23%
iter 9050: loss 0.3820, time 2147.33ms, mfu 27.26%
iter 9100: loss 0.3952, time 2149.78ms, mfu 27.29%
iter 9150: loss 0.3865, time 2150.15ms, mfu 27.31%
iter 9200: loss 0.3869, time 2148.31ms, mfu 27.33%
iter 9250: loss 0.3806, time 2147.13ms, mfu 27.35%
iter 9300: loss 0.3956, time 2149.50ms, mfu 27.37%
iter 9350: loss 0.3672, time 2148.25ms, mfu 27.39%
iter 9400: loss 0.3880, time 2147.78ms, mfu 27.40%
iter 9450: loss 0.3771, time 2147.54ms, mfu 27.42%
iter 9500: loss 0.3755, time 2149.63ms, mfu 27.43%
iter 9550: loss 0.3640, time 2150.46ms, mfu 27.43%
iter 9600: loss 0.3730, time 2148.71ms, mfu 27.44%
iter 9650: loss 0.3842, time 2147.99ms, mfu 27.45%
iter 9700: loss 0.3887, time 2147.82ms, mfu 27.46%
iter 9750: loss 0.3742, time 2148.08ms, mfu 27.47%
iter 9800: loss 0.3772, time 2148.22ms, mfu 27.48%
iter 9850: loss 0.3824, time 2149.46ms, mfu 27.48%
iter 9900: loss 0.3850, time 2146.68ms, mfu 27.49%
iter 9950: loss 0.3920, time 2150.21ms, mfu 27.49%
iter 10000: loss 0.3675, time 2149.21ms, mfu 27.49%
iter 10050: loss 0.3708, time 2149.84ms, mfu 27.50%
iter 10100: loss 0.3664, time 2149.68ms, mfu 27.50%
iter 10150: loss 0.3656, time 2147.43ms, mfu 27.50%
iter 10200: loss 0.3711, time 2150.62ms, mfu 27.50%
iter 10250: loss 0.3666, time 2150.33ms, mfu 27.50%
iter 10300: loss 0.3744, time 2149.83ms, mfu 27.51%
iter 10350: loss 0.3569, time 2149.83ms, mfu 27.51%
iter 10400: loss 0.3668, time 2147.55ms, mfu 27.51%
iter 10450: loss 0.3846, time 2148.27ms, mfu 27.51%
